"book_title","paper_id","dc_type","authors","year","source","keyword"
"Artificial Intelligence in HSE","SPE-192820-MS","conference-paper","Hojageldiyev, Dayanch, Dragon Oil Turkmenistan Ltd.",2018,"SPE","'artificial+intelligence'"
"Production Monitoring Using Artificial Intelligence","SPE-149594-MS","conference-paper","Olivares Velazquez, Gonzalo Jesus, Pemex E&P | Escalona Quintero, Carlos Javier, Schlumberger | Gimenez, Eddy Ramon, Schlumberger",2012,"SPE","'artificial+intelligence'"
"Multilateral Wells Evaluation Utilizing Artificial Intelligence","SPE-183508-MS","conference-paper","Al-Mashhad, Ali S., Saudi Aramco | Al-Arifi, Sulaiman A., KFUPM | Al-Kadem, Mohammed S., Saudi Aramco | Al-Dabbous, Mohammed S., Saudi Aramco | Buhulaigah, Ahmed, Saudi Aramco",2016,"SPE","'artificial+intelligence'"
"Multilateral Wells Evaluation Utilizing Artificial Intelligence","SPE-183688-MS","conference-paper","Buhulaigah, Ahmed, Saudi Aramco | Al-Mashhad, Ali S., Saudi Aramco | Al-Arifi, Sulaiman A., KFUPM | Al-Kadem, Mohammed S., Saudi Aramco | Al-Dabbous, Mohammed S., Saudi Aramco",2017,"SPE","'artificial+intelligence'"
"Artificial Intelligence–Driven Asset Optimizer","SPE-191551-MS","conference-paper","Gupta, Supriya, Schlumberger | Sharma, Abhishek, Schlumberger | Abubakar, Aria, Schlumberger",2018,"SPE","'artificial+intelligence'"
"Profiling Downhole Casing Integrity Using Artificial Intelligence","SPE-173422-MS","conference-paper","AlAjmi, Mohammed D., Saudi Aramco | Abdulraheem, Abdulazeez, King Fahad University of Petroleum and Minerals | Mishkhes, Abdulrahman T., Saudi Aramco | Al-Shammari, Mubarak J., Saudi Aramco",2015,"SPE","'artificial+intelligence'"
"Artificial Intelligence (AI) Assisted History Matching","SPE-169507-MS","conference-paper","Shahkarami, Alireza, West Virginia University | Mohaghegh, Shahab D., West Virginia University | Gholami, Vida, West Virginia University | Haghighat, Seyed Alireza, West Virginia University",2014,"SPE","'artificial+intelligence'"
"Forecasting Incident Rates through Artificial Intelligence","ASSE-07-1185","conference-paper","Al-Mutairi, Abdullah, HES Specialist | Haight, Joel M., Pennsylvania State University",2007,"ASSE","'artificial+intelligence'"
"Formation Dip Determination - An Artificial Intelligence Approach","SPWLA-1983-vXXIVn5a2","journal-paper","Kerzner, Mark G., Dresser Petroleum Engineering Services Dresser Industries, Inc.",1983,"SPWLA","'artificial+intelligence'"
"Estimating Dewpoint Pressure Using Artificial Intelligence","SPE-160919-MS","conference-paper","Alarfaj, Malik K., Saudi Aramco | Abdulraheem, Abdulazeez, KFUPM | Busaleh, Yasser R., Saudi Aramco",2012,"SPE","'artificial+intelligence'"
"Artificial Intelligence I Neural Networks In Geophysics","SEG-1992-0001","conference-paper","Guo, Yi, Center for Potential Fields Studies, Colorado School of Mines | Hansen, R.O., Center for Potential Fields Studies, Colorado School of Mines | Harthill, Norman, Center for Potential Fields Studies, Colorado School of Mines",1992,"SEG","'artificial+intelligence'"
"Application of Artificial Intelligence in MWD Interpretation","SPE-15908-MS","general","Gangopadhyay, S.,",1986,"SPE","'artificial+intelligence'"
"Industrial Applications Of Artificial Intelligence Technologies","PETSOC-95-114","conference-paper","Cercone, N., University of Regina",1995,"PETSOC","'artificial+intelligence'"
"Well Log Data Interpretationusing Artificial Intelligence Technique","SPWLA-1986-M","conference-paper","Wu, X., Institute of Mineral Deposits | Nyland, E., University of Alberta",1986,"SPWLA","'artificial+intelligence'"
"Artificial Intelligence and Robotics Support Marine Mining","SPE-0818-0068-JPT","journal-paper","Carpenter, Chris, JPT Technology Editor",2018,"SPE","'artificial+intelligence'"
"Cross-Industry Innovations in Artificial Intelligence","SPE-143873-MS","conference-paper","Piovesan, Carol Michelle, APO Offshore | Kozman, Jess B., Schlumberger Oilfield Australia Pty Ltd",2011,"SPE","'artificial+intelligence'"
"SUPPLEMENTARY/SNAME-SMC-2018-056-SUP.pdf","SNAME-SMC-2018-056","media","",NA,NA,"'artificial+intelligence'"
"Estimation of Rock Mechanical Parameters Using Artificial Intelligence Tools","ARMA-2017-0301","conference-paper","Tariq, Zeeshan, KFUPM | Elkatatny, S. M., KFUPM | Mahmoud, M. A., KFUPM | Abdulraheem, A., KFUPM | Abdelwahab, A. Z., KFUPM | Woldeamanuel, M., Saudi Aramco",2017,"ARMA","'artificial+intelligence'"
"An Artificial Intelligence Approach To Well Log Correlation","SPWLA-1986-WW","conference-paper","Startzman, R.A., Schlumberger | Kuo, T.B., Schlumberger",1986,"SPWLA","'artificial+intelligence'"
"How Artificial Intelligence Methods Can Forecast Oil Production","SPE-75143-MS","conference-paper","Weiss, William W., PRRC/NM TECH | Balch, Robert S., PRRC/NM TECH | Stubbs, Bruce A., Pecos Petroleum Engineering",2002,"SPE","'artificial+intelligence'"
"An Artificial Intelligence Belief System Reduces Nonproductive Time","SPE-1018-0018-JPT","journal-paper","Ashkok, Pradeep, Intellicess | Behounek, Michael, Apache Corporation",2018,"SPE","'artificial+intelligence'"
"Predicting Formation Tops While Drilling Using Artificial Intelligence","SPE-192345-MS","conference-paper","Al-AbdulJabbar, Ahmad, KFUPM | Elkatatny, Salaheldin, KFUPM | Mahmoud, Mohamed, KFUPM | Abdulraheem, Abdulazeez, KFUPM",2018,"SPE","'artificial+intelligence'"
"Predicting Rate of Penetration Using Artificial Intelligence Techniques","SPE-192343-MS","conference-paper","Al-AbdulJabbar, Ahmad, KFUPM | Elkatatny, Salaheldin, KFUPM | Mahmoud, Mohamed, KFUPM | Abdulraheem, Abdulazeez, KFUPM",2018,"SPE","'artificial+intelligence'"
"Artificial Intelligence for Shipboard Asset Failure Prediction","SNAME-SMC-2018-056","conference-paper","Mitchell, Walter, SparkCognition, Inc. | Rosner, Marla, SparkCognition, Inc.",2018,"SNAME","'artificial+intelligence'"
"Artificial Intelligence Comes of Age in Oil and Gas","SPE-0113-0050-JPT","journal-paper","Braswell, Gentry, JPT Online Technology Editor",2013,"SPE","'artificial+intelligence'"
"Artificial Intelligence Technology Predicts Relative Permeability of Giant Carbonate Reservoirs","SPE-109018-MS","conference-paper","Al-Fattah, Saud Mohammad, Saudi Aramco",2007,"SPE","'artificial+intelligence'"
"Artificial Intelligence Approach for Well-to-Well Log Correlation","SPE-39541-MS","conference-paper","Lim, Jong-Se, Seoul Natl. U. | Kang, Joe M., Seoul Natl. U. | Kim, Jungwhan, Korea Petroleum Devel. Corp.",1998,"SPE","'artificial+intelligence'"
"A First Course In Artificial Intelligence In Petroleum Engineering","SPE-17131-MS","general","Eskijian, M.L.,",1987,"SPE","'artificial+intelligence'"
