"book_title","paper_id","dc_type","authors","year","source","keyword"
"Video:                  Big Data Next Chapter","OTC-29181-PT","presentation","Cody, Preston, Wood Mackenzie | Menapace, Francesco, Shell | Sheather, Simon, Texas A&M University | Vega, Patricia, Quantum New Energy | Vieira, Raul, Novetus Engineering | Gollapalli, Joseph, ABS",2018,"OTC","'big+data'"
"Emerging Frontiers: Big Data!","SPE-0114-0014-JPT","journal-paper","Spath, Jeff, 2014 SPE President",2014,"SPE","'big+data'"
"Tapping the Value From Big Data Analytics","SPE-1216-0040-JPT","journal-paper","Mehta, Amit, Moblize",2016,"SPE","'big+data'"
"Big Data Analytics Drive EOR Projects","SPE-186159-MS","conference-paper","Xiao, Jie, Holding Energy Petroleum Engineering BeiJing Co.,Ltd. | Sun, Xin, Holding Energy Petroleum Engineering BeiJing Co.,Ltd.",2017,"SPE","'big+data'"
"Big Data Analytics for Prognostic Foresight","SPE-181037-MS","conference-paper","von Plate, Moritz, Cassantec AG",2016,"SPE","'big+data'"
"Advanced Big Data Analytics Improves HSE Management","SPE-180032-MS","conference-paper","Tarrahi, Mohammadali, Shell | Shadravan, Arash, ReservoirFocus LLC",2016,"SPE","'big+data'"
"Big Data Is a Big Deal","SPE-0413-0018-JPT","journal-paper","Anand, Pradeep, Seeta Resources",2013,"SPE","'big+data'"
"SUPPLEMENTARY/SPE-181730-SUP.pdf","SPE-181730-MS","media","",NA,NA,"'big+data'"
"SUPPLEMENTARY/OTC-26021-SUP.pdf","OTC-26021-MS","media","",NA,NA,"'big+data'"
"SUPPLEMENTARY/SPE-173416-SUP.pdf","SPE-173416-MS","media","",NA,NA,"'big+data'"
"Seismic interpretation in the age of big data","SEG-2016-13612308","conference-paper","Roden, Rocky, Geophysical Insights",2016,"SEG","'big+data'"
"Risk and Reward: Big Data and the Next Big Thing","SPE-1116-0010-JPT","journal-paper","Judah, Janeen, 2017 SPE President",2016,"SPE","'big+data'"
"Drilling Analysis Using Big Data has been Misused and Abused","SPE-189583-MS","conference-paper","Maidla, Eric, ProNova - TDE Petroleum Data Solutions, Inc. | Maidla, William, ProNova - TDE Petroleum Data Solutions, Inc. | Rigg, John, ProNova - TDE Petroleum Data Solutions, Inc. | Crumrine, Michael, ProNova - TDE Petroleum Data Solutions, Inc. | Wolf-Zoellner, Philipp, ProNova - TDE Petroleum Data Solutions, Inc.",2018,"SPE","'big+data'"
"Optimizing Drilling by Simulation and Automation with Big Data","SPE-191427-MS","conference-paper","Hutchinson, Mark, Leader Drilling International | Thornton, Ben, MSC Software | Theys, Philippe, Consultant | Bolt, Harald, Depth Solutions, Ltd.",2018,"SPE","'big+data'"
"Managing Big Data: Cloud Computing and Co-Location Centers","SPE-1011-0042-JPT","journal-paper","Beckwith, Robin, Staff Writer JPT/JPT Online",2011,"SPE","'big+data'"
"New Findings in Drilling and Wells using Big Data Analytics","OTC-26021-MS","conference-paper","Johnston, J., CGG | Guichard, A., Teradata",2015,"OTC","'big+data'"
"Addressing O&G Big Data Challenges at the Remote Edge","SPE-173416-MS","conference-paper","Konovalov, Serhiy, Rik Irons-Mclean",2015,"SPE","'big+data'"
"Improving Reservoir Management through Big Data Technologies","SPE-167482-MS","conference-paper","Seemann, D., Saudi Aramco | Williamson, M., Saudi Aramco | Hasan, S., Saudi Aramco",2013,"SPE","'big+data'"
"Big Data Techniques for Ship Performance Study","ISOPE-I-18-190","conference-paper","Anagnostopoulos, Alexios, Chalmers University of Technology",2018,"ISOPE","'big+data'"
"Intelligent HSE Big Data Analytics Platform Promotes Occupational Safety","SPE-181730-MS","conference-paper","Tarrahi, Mohammadali, Shell | Shadravan, Arash, ReservoirFocus LLC",2016,"SPE","'big+data'"
"Integrating Big Data Analytics Into Development Planning Optimization","SPE-191796-18ERM-MS","conference-paper","Ockree, Matthew, Range Resources-Appalachia, LLC | Brown, Kenneth G., Range Resources-Appalachia, LLC | Frantz, Joseph, Range Resources-Appalachia, LLC | Deasy, Michael, Range Resources-Appalachia, LLC | John, Ramey, Novi Labs",2018,"SPE","'big+data'"
"Low Oil Prices Increase Value of Big Data in Fracturing","SPE-0415-0060-JPT","journal-paper","Betz, Jack, JPT Staff Writer",2015,"SPE","'big+data'"
"Continental Production Allocation and Analysis Through Big Data","URTEC-2678296-MS","conference-paper","Rollins, Beau T., Devon Energy | Broussard, Andy, Devon Energy | Cummins, Billy, Devon Energy | Smiley, Akim, Devon Energy | Dobbs, Nelson, Devon Energy",2017,"URTEC","'big+data'"
"Big Data Analytics for Micro-Seismic Monitoring","OTC-28381-MS","conference-paper","Joshi, P., Wipro Ltd | Thapliyal, R., Wipro Ltd | Chittambakkam, A. A., Wipro Ltd | Ghosh, R., Wipro Ltd | Bhowmick, S., Wipro Ltd | Khan, S. N., Wipro Ltd",2018,"OTC","'big+data'"
"SUPPLEMENTARY/OTC-26275-SUP.pdf","OTC-26275-MS","media","",NA,NA,"'big+data'"
"SUPPLEMENTARY/SPE-181224-SUP.pdf","SPE-181224-MS","media","",NA,NA,"'big+data'"
"SUPPLEMENTARY/SPE-181510-SUP.pdf","SPE-181510-MS","media","",NA,NA,"'big+data'"
"SUPPLEMENTARY/SPE-173445-SUP.pdf","SPE-173445-MS","media","",NA,NA,"'big+data'"
"SUPPLEMENTARY/SPE-173444-SUP.pdf","SPE-173444-MS","media","",NA,NA,"'big+data'"
"SUPPLEMENTARY/OTC-28805-SUP.pdf","OTC-28805-MS","media","",NA,NA,"'big+data'"
"SUPPLEMENTARY/SPE-181216-SUP.pdf","SPE-181216-MS","media","",NA,NA,"'big+data'"
"Video:                  Big Data Analytics for Seismic Fracture Identification, Using Amplitude-Based Statistics","SPE-191668-PT","presentation","Udegbe, Egbadon, The Pennsylvania State University | Morgan, Eugene, The Pennsylvania State University | Srinivasan, Sanjay, The Pennsylvania State University",2018,"SPE","'big+data'"
"Big Data Analytics Workflow to Safeguard ESP Operations in Real-Time","SPE-181224-MS","conference-paper","Gupta, Supriya, Frontender Corporation | Saputelli, Luigi, Frontender Corporation | Nikolaou, Michael, University of Houston",2016,"SPE","'big+data'"
"The Role of Big Data Analytics in Exploration and Production: A Review of Benefits and Applications","SPE-193776-MS","conference-paper","Noshi, Christine I., Texas A&M University | Assem, Ahmed I., Texas A&M University | Schubert, Jerome J., Texas A&M University",2018,"SPE","'big+data'"
"Big Data Approach for Geological Study of the Big Region West Siberia","SPE-191726-MS","conference-paper","Olneva, Tatiana, Gazpromneft NTC | Kuzmin, Dmitryi, Gazpromneft NTC | Rasskazova, Svetlana, Gazpromneft NTC | Timirgalin, Azamat, Gazpromneft NTC",2018,"SPE","'big+data'"
"Using Big Data Analysis Tools To Understand Bad Hole Sections on the UK Continental Shelf","SPE-1015-0060-JPT","journal-paper","Johnston, Joe, CGG | Guichard, Aurelien, Teradata",2015,"SPE","'big+data'"
"Using Big Data to Predict and Prevent Serious Injuries and Fatalities","ASSE-15-671","conference-paper","Pettinger, Chuck B., Predictive Solutions",2015,"ASSE","'big+data'"
"Big Data in Exploration and Production: Real-Time Adaptive Analytics and Data-Flow Architecture","SPE-163721-MS","conference-paper","Brule, Michael R, IBM",2013,"SPE","'big+data'"
"Enabling Real-Time Distributed Sensor Data for Broader Use by the Big Data Infrastructures","SPE-181056-MS","conference-paper","Yang, Don, Baker Hughes Incorporated | Denney, Tommy, Baker Hughes Incorporated | Bello, Oladele, Baker Hughes Incorporated | Lazarus, Sony, Baker Hughes Incorporated | Vettical, Celestine, Baker Hughes Incorporated",2016,"SPE","'big+data'"
"Big Data in the Digital Oilfield Requires Data Transfer Standards to Perform","OTC-28805-MS","conference-paper","Neri, Philip, Energistics Inc",2018,"OTC","'big+data'"
"Promising Big Data technologies in petroleum engineering: the experience of the Gazprom Neft PJSC (Russian)","OIJ-2016-12-076-079-RU","journal-paper","Khasanov, M. M., Gazprom Neft PJSC, RF, Saint-Petersburg | Prokofiev, D. O., Gazpromneft NTC LLC, RF, Saint-Petersburg | Ushmaev, O. S., Gazpromneft NTC LLC, RF, Saint-Petersburg | Belozerov, B. V., Gazpromneft NTC LLC, RF, Saint-Petersburg | Gilmanov, R. R., Gazpromneft NTC LLC, RF, Saint-Petersburg | Margarit, A. S., Gazpromneft NTC LLC, RF, Saint-Petersburg",2016,"OIJ","'big+data'"
"The Application of Big Data Analysis in the Optimizing and Selecting Artificial Lift Methods","SPE-192482-MS","conference-paper","Shi, Junfeng, RIPED, CNPC | Han, Qiqing, Dagang Oilfield Company, CNPC | Ren, Xianghui, Bohai Drilling Engineering Company Limited, CNPC | Zhang, Xishun, RIPED, CNPC | Zhao, Ruidong, RIPED, CNPC | Chen, Shiwen, RIPED, CNPC | Li, Qiming, RIPED, CNPC | Zheng, Xiaoxiong, Dagang Oilfield Company, CNPC",2018,"SPE","'big+data'"
"Next Generation Downhole Big Data Platform for Dynamic Data-Driven Well and Reservoir Management","SPE-186033-MS","conference-paper","Bello, Oladele, Baker Hughes Incorporated | Yang, Don, Baker Hughes Incorporated | Lazarus, Sony, Baker Hughes Incorporated | Wang, Xiaowei Shawn, Baker Hughes Incorporated | Denney, Tommy, Baker Hughes Incorporated",2017,"SPE","'big+data'"
"Tracking Corporate Stewardship of Environmental Services-Opportunities of Big Data Applications and Long Term Value","SPE-190572-MS","conference-paper","Wright, Nigel H, Due Diligence Royal HaskoningDHV London Westminster",2018,"SPE","'big+data'"
"Using Big Data and Smart Field Technology for Detecting Leakage in a CO2 Storage Project","SPE-166137-MS","conference-paper","Haghighat, S. Alireza, West Virginia University | Mohaghegh, Shahab D., West Virginia University | Gholami, Vida, West Virginia University | Shahkarami, Alireza, West Virginia University | Moreno, Daniel Alejandro, West Virginia University",2013,"SPE","'big+data'"
"Big Data Advanced Anlytics to Forecast Operational Upsets in Upstream Production System","SPE-193190-MS","conference-paper","Cadei, Luca, Eni SpA Upstream and Technical Services | Montini, Marco, Eni SpA Upstream and Technical Services | Landi, Fabio, Eni SpA Upstream and Technical Services | Porcelli, Francesco, Eni SpA Upstream and Technical Services | Michetti, Vincenzo, Eni SpA Upstream and Technical Services | Origgi, Matteo, The Boston Consulting Group | Tonegutti, Marco, The Boston Consulting Group | Duranton, Sylvain, The Boston Consulting Group GAMMA",2018,"SPE","'big+data'"
"Applying Big Data Analytics to Detect, Diagnose, and Prevent Impending Failures in Electric Submersible Pumps","SPE-181510-MS","conference-paper","Gupta, Supriya, Frontender Corporation | Saputelli, Luigi, Frontender Corporation | Nikolaou, Michael, University of Houston",2016,"SPE","'big+data'"
"Research and Application of Electric Power Curve Inversing Dynamometer Diagram Technology Using Big Data Approach","SPE-189200-MS","conference-paper","Zhang, Xishun, RIPED CNPC | Shi, Junfeng, RIPED CNPC | Zhao, Ruidong, RIPED CNPC | Sun, Dakui, Jilin Oilfield CNPC | Zhang, Xin, RIPED CNPC | Deng, Feng, RIPED CNPC | Peng, Yi, RIPED CNPC | Chen, Shiwen, RIPED CNPC",2017,"SPE","'big+data'"
"Big Data Every Day: Predictive Analytics Used to Improve Production Surveillance","SPE-173444-MS","conference-paper","Raphael, Scott, P2 Energy Solutions | Fuge, Clara P., P2 Energy Solutions | Gutierrez, Shawn, P2 Energy Solutions | Kuzma, Heidi A., BetaZi LLC | Arora, Nimar S., BetaZi LLC",2015,"SPE","'big+data'"
"Face-Detection Algorithm Handles Big Data To Help Identify Candidates for Restimulation","SPE-1018-0062-JPT","journal-paper","Wilson, Adam, JPT Special Publications Editor",2018,"SPE","'big+data'"
"Big-Data Analytics for Predictive Maintenance Modeling: Challenges and Opportunities","SPE-1016-0071-JPT","journal-paper","Wilson, Adam, JPT Special Publications Editor",2016,"SPE","'big+data'"
"Rod-Pump Optimization: Big Data Helps Accelerate and Improve Operations","SPE-0718-0060-JPT","journal-paper","Wilson, Adam, JPT Special Publications Editor",2018,"SPE","'big+data'"
"Effect of Fracturing Chemicals on Well Productivity: Avoiding Pitfalls in Big Data Analysis","SPE-189551-MS","conference-paper","Khvostichenko, Daria, Schlumberger | Makarychev-Mikhailov, Sergey, Schlumberger",2018,"SPE","'big+data'"
"Optique: Simple, Oil & Gas-oriented Access to Big Data in Exploration","SPE-181111-MS","conference-paper","Skjæveland, M. G., University of Oslo | Cameron, D., University of Oslo | Giese, M., University of Oslo | Hovland, D., University of Oslo | Waaler, A., University of Oslo | Bjørge, E., Statoil | Tungland, K., Statoil",2016,"SPE","'big+data'"
"Big Data Analytics for Predictive Maintenance Modeling: Challenges and Opportunities","OTC-26275-MS","conference-paper","Santos, I. H. F., Petrobras | Machado, M. M., Petrobras | Russo, E. E., Petrobras | Manguinho, D. M., Petrobras | Almeida, V. T., Petrobras | Wo, R. C., Petrobras | Bahia, M., Petrobras | Constantino, D. J. S., Petrobras",2015,"OTC","'big+data'"
"Principles of Big Data Algorithms and Application for Unconventional Oil and Gas Resources","SPE-172982-MS","conference-paper","Lin, Avi, Halliburton",2014,"SPE","'big+data'"
"Big Data in Exploration and Production: Silicon Snake-Oil, Magic Bullet, or Useful Tool?","SPE-167837-MS","conference-paper","Cameron, David, Steria AS",2014,"SPE","'big+data'"
"Intelligent Use of Big Data for Heavy Oil Reservoir Management","SPE-174912-MS","conference-paper","Popa, Andrei S., Chevron North America Exploration and Production | Grijalva, Eli, Chevron North America Exploration and Production | Cassidy, Steve, Chevron North America Exploration and Production | Medel, Juan, Chevron North America Exploration and Production | Cover, Andrew, Chevron North America Exploration and Production",2015,"SPE","'big+data'"
"The Data Reservoir: How Big Data Technologies Advance Data Management and Analytics in E&P","SPE-173445-MS","conference-paper","Brulé, M.R., IBM Software Group",2015,"SPE","'big+data'"
"Big Data Analytics for Seismic Fracture Identification, Using Amplitude-Based Statistics","SPE-191668-MS","conference-paper","Udegbe, Egbadon, The Pennsylvania State University | Morgan, Eugene, The Pennsylvania State University | Srinivasan, Sanjay, The Pennsylvania State University",2018,"SPE","'big+data'"
"Cloud-based Remote Visualization of Big Data to Subsurface Exploration","SPE-172983-MS","conference-paper","Delazari Binotto, Alecio Pedro, IBM Research | Sultanum, Nicole, IBM Research | Cerqueira, Renato, IBM Research",2014,"SPE","'big+data'"
"Application of Big Data Tools for Unstructured Data Analysis to Improve ESP Operation Efficiency","SPE-187738-MS","conference-paper","Sarapulov, N. P., Gazpromneft | Khabibullin, R. A., Gazpromneft",2017,"SPE","'big+data'"
"""Smart Decision Making Needs Automated Analysis"" Making sense out of big data in real-time","SPE-167879-MS","conference-paper","Crockett, Brian, Wipro | Kurrey, Kshitiz, Wipro",2014,"SPE","'big+data'"
"Estimation Model of Energy Efficiency Operational Indicator Using Public Data Based on Big Data Technology","ISOPE-I-18-422","conference-paper","Park, Sung-Woo, Seoul National University | Roh, Myung-Il, Seoul National University | Oh, Min-Jae, Seoul National University | Kim, Seong-Hoon, Seoul National University | Lee, Won-Joon, R&D Institute | Kim, In-Il, R&D Institute | Kim, Chang-Yong, R&D Institute",2018,"ISOPE","'big+data'"
"Application of Big Data Tools for Unstructured Data Analysis to Improve ESP Operation Efficiency (Russian)","SPE-187738-RU","conference-paper","Sarapulov, N. P., Gazpromneft | Khabibullin, R. A., Gazpromneft",2017,"SPE","'big+data'"
"The Research of Big Data Analysis Platform of Oil & Gas Production","OTC-28346-MS","conference-paper","Ruidong, Zhao, RIPED CNPC | Chunming, Xiong, RIPED CNPC | Junfeng, Shi, RIPED CNPC | Yufeng, Zhang, RIPED CNPC | Yi, Peng, RIPED CNPC | Shiwen, Chen, RIPED CNPC | Feng, Deng, RIPED CNPC | Xishun, Zhang, RIPED CNPC",2018,"OTC","'big+data'"
"Future Workforce Education Through Big-Data Analysis for Drilling Optimization","SPE-0218-0052-JPT","journal-paper","Wilson, Adam, JPT Special Publications Editor",2018,"SPE","'big+data'"
"Future Workforce Education through Big Data Analysis for Drilling Optimization","SPE-184739-MS","conference-paper","Zhou, Y., The University of Texas at Austin | Baumgartner, T., The University of Texas at Austin | Saini, G., The University of Texas at Austin | Ashok, P., The University of Texas at Austin | Oort, E. van, The University of Texas at Austin | Isbell, M. R., Hess Corporation | Trichel, D. K., Hess Corporation",2017,"SPE","'big+data'"
"Managing Big Data of Offshore Project Lifecycle through Investment Information System","OTC-28602-MS","conference-paper","Panggabean, Yan Bastian, PERTAMINA",2018,"OTC","'big+data'"
"Leading Indicators, Culture and Big Data: Using Your Data to Eliminate Death","ASSE-14-689","conference-paper","Pettinger, Chuck B., Predictive Solutions",2014,"ASSE","'big+data'"
"The Era of Big Data: What Does it Mean for a Safety Professional?","ASSE-14-612","conference-paper","Batterson, Leslie M., Aon | Iovino, Christopher, Aon",2014,"ASSE","'big+data'"
"From Face Detection to Fractured Reservoir Characterization: Big Data Analytics for Restimulation Candidate Selection","SPE-187328-MS","conference-paper","Udegbe, Egbadon, The Pennsylvania State University | Morgan, Eugene, The Pennsylvania State University | Srinivasan, Sanjay, The Pennsylvania State University",2017,"SPE","'big+data'"
"Geographically-Distributed Databases: A Big Data Technology for Production Analysis in the Oil & Gas Industry","SPE-167844-MS","conference-paper","Preveral, Aymeric, IDMOG | Trihoreau, Antoine, IDMOG | Petit, Nicolas, Mines ParisTech",2014,"SPE","'big+data'"
"Improve the Drilling Operations Efficiency by the Big Data Mining of Real-Time Logging","SPE-189330-MS","conference-paper","YIN, Qishuai, China University of Petroleum | YANG, Jin, China University of Petroleum | ZHOU, Bo, CNPC Drilling Research Institute | JIANG, Menglei, China University of Petroleum | CHEN, Xiaoliang, China University of Petroleum | FU, Chao, China University of Petroleum | YAN, Li, China University of Petroleum | LI, Lei, China University of Petroleum",2018,"SPE","'big+data'"
"Proactive Rod Pump Optimization: Leveraging Big Data to Accelerate and Improve Operations","SPE-181216-MS","conference-paper","Palmer, Tyler, Denbury Resources Inc. | Turland, Mark, Denbury Resources Inc.",2016,"SPE","'big+data'"
"Analytics in Oil and Gas: The Big Deal About Big Data","SPE-163717-MS","conference-paper","Feblowitz, Jill, IDC Energy Insights",2013,"SPE","'big+data'"
"SUPPLEMENTARY/SPE-181273-SUP.pdf","SPE-181273-MS","media","",NA,NA,"'big+data'"
