"book_title","paper_id","dc_type","authors","year","source","keyword"
"Advances in Hybrid Computational Intelligence Application in Oil and Gas Reservoir Characterization","SPE-160921-MS","conference-paper","Anifowose, Fatai Adesina, King Fahd University of Petroleum and Minerals",2012,"SPE","'computational+intelligence'"
"Prediction of Porosity and Permeability of Oil and Gas Reservoirs using Hybrid Computational Intelligence Models","SPE-126649-MS","conference-paper","Anifowose, Fatai Adesina, King Fahd University of Petroleum and Minerals | Abdulraheem, Abdulazeez, King Fahd University of Petroleum and Minerals",2010,"SPE","'computational+intelligence'"
"Ensemble Machine Learning: The Latest Development in Computational Intelligence for Petroleum Reservoir Characterization","SPE-168111-MS","conference-paper","Anifowose, Fatai A., King Fahd University of Petroleum and Minerals",2013,"SPE","'computational+intelligence'"
"Missing Wind Speed Data: Clustering Techniques for Completion and Computational Intelligence Models for Forecasting","ISOPE-I-16-637","conference-paper","Panapakidis, Ioannis P., Technological Education Institute of Thessaly Larisa; Aristotle University of Thessaloniki (A.U.Th.) | Michailides, Constantine, Norwegian University of Science and Technology; Liverpool John Moores University | Angelides, Demos C., Aristotle University of Thessaloniki (A.U.Th.)",2016,"ISOPE","'computational+intelligence'"
"Prediction of °API Values of Crude Oils by Use of Saturates/Aromatics/Resins/Asphaltenes Analysis: Computational-Intelligence-Based Models","SPE-184391-PA","journal-paper","Goel, Purva, CSIR-National Chemical Laboratory | Saurabh, Kumar, CSIR-National Chemical Laboratory and Indian Institute of Technology | Patil-Shinde, Veena, CSIR-National Chemical Laboratory, Bharati Vidyapeeth University College of Engineering, and Savitribai Phule Pune University | Tambe, Sanjeev S., CSIR-National Chemical Laboratory",2017,"SPE","'computational+intelligence'"
"An Automated Flowing Bottom-Hole Pressure Prediction for a Vertical Well Having Multiphase Flow Using Computational Intelligence Techniques","SPE-192184-MS","conference-paper","Tariq, Zeeshan, King Fahd University of Petroleum & Minerals",2018,"SPE","'computational+intelligence'"
"Utilizing State of the Art Computational Intelligence to Estimate Oil Flow Rate in Artificial Lift Wells","SPE-192321-MS","conference-paper","Khan, Mohammad Rasheed, King Fahd University of Petroleum & Minerals | Tariq, Zeeshan, King Fahd University of Petroleum & Minerals | Abdulraheem, Abdulazeez, King Fahd University of Petroleum & Minerals",2018,"SPE","'computational+intelligence'"
"Maximizing Oil Recovery in a Naturally Fractured Carbonate Reservoir Using Computational Intelligence based on Particle Swarm Optimization","SPE-195664-MS","conference-paper","Khan, Mohammad Rasheed, KFUPM | Sadeed, Ahmed, KFUPM | Asad, Abdul, KFUPM | Tariq, Zeeshan, KFUPM | Tauqeer, Muhammad, MOL Pakistan Oil & Gas Co. B.V.",2018,"SPE","'computational+intelligence'"
"Fracture Optimization eXpert (FOX) - How Computational Intelligence Helps the Bottom-Line in Gas Storage; A Case Study","SPE-37341-MS","conference-paper","Mohaghegh, Shahab, West Virginia University | Hefner, M. Hugh, CNG | Ameri, Sam, West Virginia University",1996,"SPE","'computational+intelligence'"
"A Multidisciplinary Approach to Characterize the Hu-12 Oilfield, East China","SPE-49998-MS","conference-paper","Chen, L., RIPED (CNPC) | Niu, Y., RIPED (CNPC) | Wong, P.M., U. of New South Wales | Wang, L., U. of New South Wales",1998,"SPE","'computational+intelligence'"
"A New Approach to Predict Bit Life Based on Tooth or Bearing Failures","SPE-51082-MS","conference-paper","Bilgesu, H.I., West Virginia U. | Altmis, U., West Virginia U. | Ameri, S., West Virginia U. | Mohaghegh, S., West Virginia U. | Aminian, K., West Virginia U.",1998,"SPE","'computational+intelligence'"
"Developing a Committee Machine Model for Predicting Reservoir Porosity From Image Analysis of Thin Sections","SPWLA-JFES-2014-CC","conference-paper","Rostami, Amirshahriar, National Iranian Oil Company, Pars Oil & Gas Company (POGC) | Hatampour, Amir, National Iranian Oil Company, Pars Oil & Gas Company (POGC) | Amiri, Morteza, National Iranian Oil Company, Pars Oil & Gas Company (POGC) and University Technology Malaysia | Ghiasi-Freez, Javad, Iranian Central Oil Fields Company (ICOFC) | Heidari, Mehdi, National Iranian Oil Company, Pars Oil & Gas Company (POGC)",2014,"SPWLA","'computational+intelligence'"
"A Holistic Open Pit Mine Slope Stability Index Using Artificial Neural Networks","ISRM-AFRIROCK-2017-027","conference-paper","Fakir, M., University of Johannesburg | Ferentinou, M., University of Johannesburg",2017,"ISRM","'computational+intelligence'"
"A Simulation Model of an Artificial Intelligent System to Predict Complex Human Behavior in Response to CO2 Capture and Storage (CCS) Technology Deployment Processes","ISOPE-I-16-462","conference-paper","Buah, Eric, School of Energy Systems | Linnanen, Lassi, School of Energy Systems | Wu, Huapeng, Lappeenranta University of Technology (LUT)",2016,"ISOPE","'computational+intelligence'"
"Analysis of Permeability Using BPF, ANFIS & SOM","ARMA-07-037","conference-paper","Shahriar, K., Faculty of Mining & Metallurgical Engineering, Amirkabir University of Technology | Owladeghaffari, H., Faculty of Mining & Metallurgical Engineering, Amirkabir University of Technology",2007,"ARMA","'computational+intelligence'"
"A Data Mining Approach to Model Portfolios Oil Assets at High Risk","OTC-26104-MS","conference-paper","Cervantes Bravo, R., Universidad de Buenos Aires | Fernández, E., Universidad de Buenos Aires | Jiménez Nieves, E., Universidad de Buenos Aires | Suma Tairo, G., Austral University",2015,"OTC","'computational+intelligence'"
"Feature Selection-Based ANN for Improved Characterization of Carbonate Reservoir","SPE-178029-MS","conference-paper","Akande, Kabiru O., King Fahd University of Petroleum and Minerals | Olatunji, Sunday O., University of Dammam | Owolabi, Taoreed O., King Fahd University of Petroleum and Minerals | AbdulRaheem, AbdulAzeez, King Fahd University of Petroleum and Minerals",2015,"SPE","'computational+intelligence'"
"Virtual-Intelligence Applications in Petroleum Engineering: Part 1—Artificial Neural Networks","SPE-58046-JPT","journal-paper","Mohaghegh, Shahab, West Virginia U.",2000,"SPE","'computational+intelligence'"
"In-Situ Fluid Rheological Behavior Characterization Using Data Analytics Techniques","SPE-189648-MS","conference-paper","Ettehadi, Reza, Baker Hughes, a GE Company | May, Roland, Baker Hughes, a GE Company | Dahl, Thomas, Baker Hughes, a GE Company | Clapper, Dennis, Baker Hughes, a GE Company | Swartwout, Rosa, Baker Hughes, a GE Company",2018,"SPE","'computational+intelligence'"
"Decision Support System for Economic Analysis of E&P Projects under Uncertainties","SPE-112258-MS","conference-paper","Tupac, Yvan Jesus, Pontificia U Catolica | Almeida, Luciana Faletti, Pontificia U Catolica | Lazo, Juan Guillermo, Pontificia U Catolica | Pacheco, Marco Aurelio Cavalcanti, Pontificia U Catolica | Vellasco, Marley Maria Bernardes Rebuzzi, Pontificia U Catolica",2008,"SPE","'computational+intelligence'"
"A Hybrid Artificial Intelligence Method to Predict Gas Solubility and Bubble Point Pressure","SPE-188102-MS","conference-paper","Moussa, Tamer, King Fahd University of Petroleum and Minerals | Elkatatny, Salaheldin, King Fahd University of Petroleum and Minerals | Abdulraheem, Abdulazeez, King Fahd University of Petroleum and Minerals | Mahmoud, Mohamed, King Fahd University of Petroleum and Minerals | Alloush, Rami, King Fahd University of Petroleum and Minerals",2017,"SPE","'computational+intelligence'"
"Data-Driven Modeling Approach for Recovery Performance Prediction in SAGD Operations","SPE-165557-MS","conference-paper","Dzurman, Peter John, Nexen Inc. | Leung, Juliana Yuk Wing, University of Alberta | Zanon, Stefan David Joseph, Nexen Inc. | Amirian, Ehsan, University of Alberta",2013,"SPE","'computational+intelligence'"
"Artificial Intelligence Aproaches as Tools for Auditing and Improving Data Analysis of Advanced Ultrasound Techniques in Non-Destructive Testing","SPE-193088-MS","conference-paper","Harrap, Neil, TWI Ltd | Rheaume, Richard, Ondia Canada | Gosselin, Andre, Ondia Canada",2018,"SPE","'computational+intelligence'"
"Cooperative Optimization-Based Dimensionality Reduction for Advanced Data Mining and Visualization","SPE-117765-MS","conference-paper","Chen, Dingding, Halliburton Energy Services Group | Hamid, Syed, Halliburton Energy Services Group | Dix, Michael, Halliburton Sperry Drilling Services | Quirein, John Andrew, Halliburton Energy Services Group | Jacobson, Larry A., Halliburton Energy Services Group | Hollingsworth, Malcolm T., Halliburton Energy Services Group",2008,"SPE","'computational+intelligence'"
"Virtual Measurement in Pipes: Part 2-Liquid Holdup and Flow Pattern Correlations","SPE-30976-MS","conference-paper","Ternyik, J. IV, West Virginia U. | Bilgesu, H.I., West Virginia U. | Mohaghegh, S., West Virginia U.",1995,"SPE","'computational+intelligence'"
"A New Approach for Drill Bit Selection","SPE-65618-MS","conference-paper","Bilgesu, H.I., West Virginia University | AL-Rashidi, A.F., West Virginia University | Aminian, K., West Virginia University | Ameri, S., West Virginia University",2000,"SPE","'computational+intelligence'"
"Using Neural Networks To Estimate Monthly Production: A Case Study for the Devonian Carbonates, Southeast New Mexico","SPE-94089-MS","conference-paper","Schrader, Susan Mary, | Balch, Robert Scott, New Mexico Recovery Research Center | Ruan, Tongiun, Petroleum Recovery Rsch. Ctr.",2005,"SPE","'computational+intelligence'"
"Reservoir Development with OCTOPUS: Drainage Plan Decisions Supported by an Artificial Intelligence System","OTC-28209-MS","conference-paper","Cardoso, Marco Antônio, Petrobras | Pacheco, Marco Aurélio, PUC-Rio | Abreu, Ana Carolina, PUC-Rio | Mendonza, Leonardo, UERJ",2017,"OTC","'computational+intelligence'"
"Development of Hybrid Intelligent System for Virtual Flow Metering in Production Wells","SPE-167880-MS","conference-paper","Bello, Oladele, Baker Hughes Incorporated | Ade-Jacob, Sam, Texas A & M University, College Station | Yuan, Kun, Baker Hughes Incorporated",2014,"SPE","'computational+intelligence'"
"A New Approach To Diagnosis of Sucker Rod Pump Systems by Analyzing Segments of Downhole Dynamometer Cards","SPE-173964-MS","conference-paper","Reges, Galdir D., Universidade Federal da Bahia | Schnitman, Leizer, Universidade Federal da Bahia | Reis, Ricardo, Universidade Federal da Bahia | Mota, Fabricio, Universidade Federal da Bahia",2015,"SPE","'computational+intelligence'"
"Steam Generators Optimization Using A Modified Quantum-behaved Particle Swarm Optimization (QPSO) Algorithm","SPE-173391-MS","conference-paper","Hao, Minshen, Electronic Arts | Popa, Andrei, Chevron Corporation",2015,"SPE","'computational+intelligence'"
"Optimization of Reservoir Development Plan Using the System OCTOPUS","OTC-26266-MS","conference-paper","Lima, Rafael, PUC-Rio | Abreu, Ana Carolina, PUC-Rio | Pacheco, Marco Aurélio, PUC-Rio",2015,"OTC","'computational+intelligence'"
"Drillbit Optimization System: Real-Time Approach to Enhance Rate of Penetration and Bit Wear Monitoring","SPE-176517-MS","conference-paper","Valisevich, Alexey, Lukoil-Nizhnevolzhskneft | Ruzhnikov, Alexey, A Schlumberger Company | Bebeshko, Ivan, A Schlumberger Company | Moreno, Ricardo, A Schlumberger Company | Zhentichka, Maxim, A Schlumberger Company | Bits, Smith, A Schlumberger Company",2015,"SPE","'computational+intelligence'"
"Traveltime and constrained AVO inversion using FDR PSO","SEG-2016-13959236","conference-paper","Agarwal, Aayush, Indian School of Mines, Dhanbad | Sain, Kalachand, CSIR-National Geophysical Research Institute, Hyderabad | Shalivahan, Shalivahan, Indian School of Mines",2016,"SEG","'computational+intelligence'"
"Drillbit Optimization System: Real-Time Approach to Enhance Rate of Penetration and Bit Wear Monitoring (Russian)","SPE-176517-RU","conference-paper","Valisevich, Alexey, Lukoil-Nizhnevolzhskneft | Ruzhnikov, Alexey, A Schlumberger Company | Bebeshko, Ivan, A Schlumberger Company | Moreno, Ricardo, A Schlumberger Company | Zhentichka, Maxim, A Schlumberger Company | Bits, Smith, A Schlumberger Company",2015,"SPE","'computational+intelligence'"
"Generalized Field-Development Optimization With Derivative-Free Procedures","SPE-163631-PA","journal-paper","Isebor, Obiajulu J., BP | Echeverría Ciaurri, David, IBM | Durlofsky, Louis J., Stanford University",2014,"SPE","'computational+intelligence'"
"Learning from Experience: Real-Time H2S Monitoring System Using Fuzzy ART Unsupervised Learning","SPE-191097-MS","conference-paper","Alkamil, Ethar H. K., Missouri University of Science and Technology, University of Basrah | Abbas, Ahmed K., Missouri University of Science and Technology, Iraqi Drilling Company | Flori, Ralph, Missouri University of Science and Technology | Silva, Leonardo Enzo Brito da, Missouri University of Science and Technology, CAPES Foundation | Wunsch, Donald C., Missouri University of Science and Technology | Chumkratoke, Chatetha, Suranaree Univerisity of Technology",2018,"SPE","'computational+intelligence'"
"Artificial Intelligence Based Estimation of Water Saturation Using Electrical Measurements Data in a Carbonate Reservoir","SPE-172564-MS","conference-paper","Bageri, B.S., all King Fahd University of Petr. & Min. | Anifowose, F.A., all King Fahd University of Petr. & Min. | Abdulraheem, A., all King Fahd University of Petr. & Min.",2015,"SPE","'computational+intelligence'"
"Advanced Analytics for Data-Driven Decision Making in Electrical Submersible Pump Operations Management","SPE-189119-MS","conference-paper","Adesanwo, Moradeyo, Baker Hughes Incorporated, USA | Bello, Oladele, Baker Hughes Incorporated, USA | Olorode, Olumide, Baker Hughes Incorporated, USA | Eremiokhale, Obehi, Oriental Energy Resources Limited | Sanusi, Sherif, Oriental Energy Resources Limited | Blankson, Eyituoyo, Oriental Energy Resources Limited",2017,"SPE","'computational+intelligence'"
"Use Metaheuristics to Improve the Quality of Drilling Real-Time Data for Advance Artificial Intelligent and Machine Learning Modeling. Case Study: Cleanse Hook-Load Real-Time Data","SPE-192810-MS","conference-paper","Al Gharbi, Salem, KFUPM | Ahmed, Moataz, KFUPM | ElKatatny, SalahEldin, KFUPM",2018,"SPE","'computational+intelligence'"
"Broadband processing for Campeche Basin: Improved seismic resolution and attribute derivation","SEG-2017-17744498","conference-paper","Aleman, Abdelghader, Schlumberger | Heimbach, James, Schlumberger | Medina, Elena, Schlumberger | Morales, Christopher, Schlumberger | Thekkekara, Jason, Schlumberger | Yong, Seet Li, Schlumberger | Zdraveva, Olga, Schlumberger",2017,"SEG","'computational+intelligence'"
