"book_title","paper_id","dc_type","authors","year","source","keyword"
"Technology Focus: Petroleum Data Analytics","SPE-1016-0066-JPT","journal-paper","Saputelli, Luigi, ADNOC and Frontender Corporation",2016,"SPE","'data+analytics'"
"Tapping the Value From Big Data Analytics","SPE-1216-0040-JPT","journal-paper","Mehta, Amit, Moblize",2016,"SPE","'data+analytics'"
"Technology Focus: Petroleum Data Analytics (October 2017)","SPE-1017-0087-JPT","journal-paper","Saputelli, Luigi, ADNOC and Frontender Corporation",2017,"SPE","'data+analytics'"
"Big Data Analytics Drive EOR Projects","SPE-186159-MS","conference-paper","Xiao, Jie, Holding Energy Petroleum Engineering BeiJing Co.,Ltd. | Sun, Xin, Holding Energy Petroleum Engineering BeiJing Co.,Ltd.",2017,"SPE","'data+analytics'"
"Technology Focus: Petroleum Data Analytics (October 2018)","SPE-1018-0061-JPT","journal-paper","Saputelli, Luigi, ADNOC / Frontender Corporation",2018,"SPE","'data+analytics'"
"Big Data Analytics for Prognostic Foresight","SPE-181037-MS","conference-paper","von Plate, Moritz, Cassantec AG",2016,"SPE","'data+analytics'"
"Advanced Big Data Analytics Improves HSE Management","SPE-180032-MS","conference-paper","Tarrahi, Mohammadali, Shell | Shadravan, Arash, ReservoirFocus LLC",2016,"SPE","'data+analytics'"
"SUPPLEMENTARY/SPE-174900-SUP.pdf","SPE-174900-MS","media","",NA,NA,"'data+analytics'"
"SUPPLEMENTARY/SPE-181730-SUP.pdf","SPE-181730-MS","media","",NA,NA,"'data+analytics'"
"SUPPLEMENTARY/OTC-26021-SUP.pdf","OTC-26021-MS","media","",NA,NA,"'data+analytics'"
"Real-Time Bit Wear Prediction Using Adaptive Data Analytics","SPE-187445-MS","conference-paper","Lakhanpal, Vikrant, Well Engineering Research Center for Intelligent Automation, University of Houston | Samuel, Robello, Halliburton",2017,"SPE","'data+analytics'"
"An Integrated System for Drilling Real Time Data Analytics","SPE-181001-MS","conference-paper","Alsalama, Ahmed M., Saudi Aramco | Canlas, Joseph P., Saudi Aramco | Gharbi, Salem H., Saudi Aramco",2016,"SPE","'data+analytics'"
"Data Analytics for Production Optimization in Unconventional Reservoirs","URTEC-2167005-MS","conference-paper","Schuetter, Jared, Battelle Memorial Institute | Mishra, Srikanta, Battelle Memorial Institute | Zhong, Ming, Baker Hughes | LaFollette, Randy, Baker Hughes",2015,"URTEC","'data+analytics'"
"ESP Data Analytics: Predicting Failures for Improved Production Performance","SPE-188513-MS","conference-paper","Abdelaziz, Mohannad, Saudi Aramco | Lastra, Rafael, Saudi Aramco | Xiao, J. J., Saudi Aramco",2017,"SPE","'data+analytics'"
"Oilfield Data Analytics: Linking Fracturing Chemistry and Well Productivity","URTEC-2903086-MS","conference-paper","Khvostichenko, Daria, Schlumberger | Makarychev-Mikhailov, Sergey, Schlumberger",2018,"URTEC","'data+analytics'"
"Reservoir Health Indicators Driving Performance Through Data Analytics","SPE-192881-MS","conference-paper","Al Marzouqi, Mohamed, ADNOC | Saputelli, Luigi Alfonso, ADNOC, Frontender | Abdou, Medhat, ADNOC | Narayanan, Ram, ADNOC | Mohan, Richard, ADNOC | Ismail, Ayat, ADNOC, Frontender | Escocia, Alvaro, ADNOC, Frontender",2018,"SPE","'data+analytics'"
"New Findings in Drilling and Wells using Big Data Analytics","OTC-26021-MS","conference-paper","Johnston, J., CGG | Guichard, A., Teradata",2015,"OTC","'data+analytics'"
"Leveraging Data Analytics to Optimise Production Performance","SPE-191909-MS","conference-paper","Copping, Simon, Wood | Payne, Jason, Wood | O'Malley, Ronan, Wood",2018,"SPE","'data+analytics'"
"Intelligent HSE Big Data Analytics Platform Promotes Occupational Safety","SPE-181730-MS","conference-paper","Tarrahi, Mohammadali, Shell | Shadravan, Arash, ReservoirFocus LLC",2016,"SPE","'data+analytics'"
"Integrating Big Data Analytics Into Development Planning Optimization","SPE-191796-18ERM-MS","conference-paper","Ockree, Matthew, Range Resources-Appalachia, LLC | Brown, Kenneth G., Range Resources-Appalachia, LLC | Frantz, Joseph, Range Resources-Appalachia, LLC | Deasy, Michael, Range Resources-Appalachia, LLC | John, Ramey, Novi Labs",2018,"SPE","'data+analytics'"
"Computational Advances and Data Analytics to Reduce Subsurface Uncertainty","ARMA-2016-493","conference-paper","Baker, D. Vic, Mid-Atlantic Technology, Research & Innovation Center | Kelly, Rose, National Energy Technology Laboratory | Bauer, Jennifer, AECOM, National Energy Technology Laboratory | Rager, David, Optimal Solutions Technologies Inc., National Energy Technology Laboratory",2016,"ARMA","'data+analytics'"
"Using Data Analytics to Analyze Reservoir Databases","SPE-174900-MS","conference-paper","Lee, Brian B., The University of Texas at Austin | Lake, Larry W., The University of Texas at Austin",2015,"SPE","'data+analytics'"
"Horizontal Completion Fracturing Techniques Using Data Analytics: Selection and Prediction","ARMA-2017-0013","conference-paper","Alzahabi, A., University of Houston | Soliman, M. Y., University of Houston | Thakur, G. C., University of Houston | Trindade, A. A., Texas Tech | Stegent, N., Pinnacle",2017,"ARMA","'data+analytics'"
"Big Data Analytics for Micro-Seismic Monitoring","OTC-28381-MS","conference-paper","Joshi, P., Wipro Ltd | Thapliyal, R., Wipro Ltd | Chittambakkam, A. A., Wipro Ltd | Ghosh, R., Wipro Ltd | Bhowmick, S., Wipro Ltd | Khan, S. N., Wipro Ltd",2018,"OTC","'data+analytics'"
"SUPPLEMENTARY/OTC-26275-SUP.pdf","OTC-26275-MS","media","",NA,NA,"'data+analytics'"
"SUPPLEMENTARY/SPE-181224-SUP.pdf","SPE-181224-MS","media","",NA,NA,"'data+analytics'"
"SUPPLEMENTARY/SPE-181510-SUP.pdf","SPE-181510-MS","media","",NA,NA,"'data+analytics'"
"Video:                  Big Data Analytics for Seismic Fracture Identification, Using Amplitude-Based Statistics","SPE-191668-PT","presentation","Udegbe, Egbadon, The Pennsylvania State University | Morgan, Eugene, The Pennsylvania State University | Srinivasan, Sanjay, The Pennsylvania State University",2018,"SPE","'data+analytics'"
