"book_title","paper_id","dc_type","authors","year","source","keyword"
"Geology-constrained data-driven multiple prediction","SEG-2017-17789671","conference-paper","Espinoza, Carlos, WesternGeco | Sanger, William, WesternGeco | Nichols, David, WesternGeco | Vasquez, Jessica, WesternGeco",2017,"SEG","'data-driven'"
"Inversion Based Data-Driven Attenuation Compensation Method","SEG-2014-0101","conference-paper","Wang, Benfeng, China University of Petroleum | Chen, Xiaohong, China University of Petroleum | Li, Jingye, China University of Petroleum",2014,"SEG","'data-driven'"
"Data Driven Production Forecasting Using Machine Learning","SPE-180984-MS","conference-paper","Cao, Q., Schlumberger | Banerjee, R., Schlumberger | Gupta, S., Schlumberger | Li, J., Schlumberger | Zhou, W., Schlumberger | Jeyachandra, B., Schlumberger",2016,"SPE","'data-driven'"
"SUPPLEMENTARY/SPE-182683-SUP.pdf","SPE-182683-MS","media","",NA,NA,"'data-driven'"
"SUPPLEMENTARY/SPE-177046-SUP.pdf","SPE-177046-MS","media","",NA,NA,"'data-driven'"
"Video:                  Data-Driven Prediction of In-Situ Combustion Dynamics","SPE-191457-PT","presentation","Ogunbanwo, Olufolake, Stanford University | Koh Yoo, Kuy Hun, Stanford University | Gerritsen, Margot, Stanford University | Kovscek, Anthony R., Stanford University",2018,"SPE","'data-driven'"
"On the Accuracy of Data-Driven Free Surface Multiple Prediction","SEG-2011-3495","conference-paper","Shaw, Simon A., ConocoPhillips | Ma, Nan, ConocoPhillips | Wuenscher, Mark, ConocoPhillips",2011,"SEG","'data-driven'"
"Data-driven Adaptive Decomposition of Multicomponent Seabed Recordings","SEG-2003-0873","conference-paper","Muijs, Remco, Swiss Federal Institute of Technology | Holliger, Klaus, Swiss Federal Institute of Technology | Robertsson, Johan, Schlumberger",2003,"SEG","'data-driven'"
"Injection Leakage Detection in Mature Fields Using Data-Driven Models","SPE-169349-MS","conference-paper","Moreno, G. A., YPF-Tecnología | Garriz, A. E., YPF-Tecnología",2014,"SPE","'data-driven'"
"Predictive Analytics: Development and Deployment of Upstream Data Driven Models","SPE-153454-MS","conference-paper","Holdaway, Keith Richard, SAS Institute Inc.",2012,"SPE","'data-driven'"
"Data Driven Virtual Sensors for Riser Prognostic Integrity Management","OTC-28732-MS","conference-paper","Sundararaman, S., 2H Offshore Inc. | Thethi, R., 2H Offshore Inc. | Hill, M., Business Laboratory",2018,"OTC","'data-driven'"
"Data-Driven Technologies Accelerate Planning for Mature-Field Rejuvenation","SPE-0118-0054-JPT","journal-paper","Wilson, Adam, JPT Special Publications Editor",2018,"SPE","'data-driven'"
"BOPs Become the Focus of Data-Driven Scrutiny","SPE-0716-0034-JPT","journal-paper","Rassenfoss, Stephen, JPT Emerging Technology Senior Editor",2016,"SPE","'data-driven'"
"Time Lapse Data Driven Low Frequency Model Update","SEG-2015-5797567","conference-paper","Mesdag, Peter, CGG | Saberi, M. R., CGG | Mangat, C., P. Geoph.",2015,"SEG","'data-driven'"
"Data-Driven Internal Multiple Attenuation: Theory and Examples","SEG-2013-0164","conference-paper","King, Simon, CGG | Dyer, Richard, CGG | O’Neill, Paul, CGG",2013,"SEG","'data-driven'"
"Practical Strategies for Data-Driven Land Multiple Attenuation","SEG-2013-0390","conference-paper","Wang, Juefu, CGG | Wang, Shaowu, CGG",2013,"SEG","'data-driven'"
"Applying Data-Driven Method to Production Decline Analysis and Forecasting","SPE-181616-MS","conference-paper","Jia, Xinli, Halliburton | Zhang, Feifei, Halliburton",2016,"SPE","'data-driven'"
"Innovative Data-Driven Permeability Prediction in a Heterogeneous Reservoir","SPE-121159-MS","conference-paper","Al-anazi, Ammal Fannoush, Saudi Aramco | Gates, Ian Donald, U. of Calgary | Azaiez, Jalel, University of Calgary",2009,"SPE","'data-driven'"
"Real Time Surface Data Driven WOB Estimation and Control","SPE-191723-MS","conference-paper","Zha, Yang, ConocoPhillips | Ramsay, Stacey, ConocoPhillips | Pham, Son, ConocoPhillips",2018,"SPE","'data-driven'"
"A Data-Driven Model for History Matching and Prediction","SPE-0416-0081-JPT","journal-paper","Carpenter, Chris, JPT Technology Editor",2016,"SPE","'data-driven'"
"Data-Driven Production-Impact Assessment During Unplanned Facility-System Events","SPE-1015-0090-JPT","journal-paper","Carpenter, Chris, JPT Technology Editor",2015,"SPE","'data-driven'"
"Well Integrity: Coupling Data-Driven and Physics of Failure Methods","SPE-189604-MS","conference-paper","Das, Bibek, SafeQ Services | Samuel, Robello, University of Houston",2018,"SPE","'data-driven'"
"Data-Driven In-Situ Geomechanical Characterization in Shale Reservoirs","SPE-191400-MS","conference-paper","Li, Hao, University of Oklahoma | He, Jiabo, University of Oklahoma | Misra, Siddharth, University of Oklahoma",2018,"SPE","'data-driven'"
"Data-Driven Metric Learning for History Matching","SPE-182683-MS","conference-paper","Miller, Jacob, University of California, Davis | Thiagarajan, Jayaraman J., Lawrence Livermore National Labs | Bremer, Peer-Timo, Lawrence Livermore National Labs | Hoda, Nazish, ExxonMobil Upstream Research Company | Stern, Dave, ExxonMobil Upstream Research Company | Mifflin, Rick, ExxonMobil Upstream Research Company",2017,"SPE","'data-driven'"
"Data Driven Analytics in Powder River Basin, WY","SPE-166111-MS","conference-paper","Maysami, Mohammad, Intelligent Solutions, Inc. | Gaskari, Razi, Intelligent Solutions, Inc. | Mohaghegh, Shahab D., Intelligent Solutions, Inc. & West Virginia University",2013,"SPE","'data-driven'"
"Data-Driven Production Forecasting of Unconventional Wells with Apache Spark","SPE-190098-MS","conference-paper","Mohammadmoradi, Peyman, University of Calgary | Moradi, Hessam M., University of Houston | Kantzas, Apostolos, University of Calgary",2018,"SPE","'data-driven'"
"Data-driven Interbed Multiple Removal: Strategies And Examples","SEG-2002-2106","conference-paper","van Borselen, Roald, PGS Geophysical",2002,"SEG","'data-driven'"
"Data-Driven Prediction of In-Situ Combustion Dynamics","SPE-191457-MS","conference-paper","Ogunbanwo, Olufolake, Stanford University | Koh Yoo, Kuy Hun, Stanford University | Gerritsen, Margot, Stanford University | Kovscek, Anthony R., Stanford University",2018,"SPE","'data-driven'"
"Video:                  Data Driven Virtual Sensors for Riser Prognostic Integrity Management","OTC-28732-PT","presentation","Sundararaman, S., 2H Offshore Inc. | Thethi, R., 2H Offshore Inc. | Hill, M., Business Laboratory",2018,"OTC","'data-driven'"
"Fully Data-Driven Quantitative Reservoir Characterization by Broadband Seismic","SEG-2014-0671","conference-paper","Schakel, M.D., CGG | Mesdag, P.R., CGG",2014,"SEG","'data-driven'"
"Full data-driven azimuthal inversion for anisotropy characterization","SEG-2016-13688732","conference-paper","Zhang, Mengmeng, CGG | Mesdag, Peter, CGG",2016,"SEG","'data-driven'"
"Data Driven Q-Compensation Using Continuous Wavelet Transform","SEG-2014-1422","conference-paper","Sinha, Satish K., Rajiv Gandhi Institute of Petroleum Technology | Bareli, Rae, India 229316",2014,"SEG","'data-driven'"
"Data Driven Assessment of Rotary Sidewall Coring Performance","SPE-187107-MS","conference-paper","Torlov, Vladislav, Saudi Aramco | Bonavides, Clovis, Saudi Aramco | Belowi, Ali, Saudi Aramco",2017,"SPE","'data-driven'"
"Data-driven diffraction imaging of fractures using passive seismic data","SEG-2016-13845182","conference-paper","Zhu, Tieyuan, Pennsylvania State University | Sun, Junzhe, University of Texas–Austin",2016,"SEG","'data-driven'"
"Physics-Based and Data-Driven Surrogates for Production Forecasting","SPE-173206-MS","conference-paper","Klie, Hector, ConocoPhillips",2015,"SPE","'data-driven'"
"Impedance reconstruction using a data-driven structural regularization term","SEG-2018-2997410","conference-paper","Du, Xin, State Key Laboratory of Petroleum Resource and Prospecting, China University of Petroleum–Beijing | Li, Guofa, State Key Laboratory of Petroleum Resource and Prospecting, China University of Petroleum–Beijing | Zhou, Bixiao, State Key Laboratory of Petroleum Resource and Prospecting, China University of Petroleum–Beijing | Wang, Jiaxing, State Key Laboratory of Petroleum Resource and Prospecting, China University of Petroleum–Beijing | Gao, Bo, State Key Laboratory of Petroleum Resource and Prospecting, China University of Petroleum–Beijing",2018,"SEG","'data-driven'"
"True 3D Data-driven Multiple Removal: Acquisition & Processing Solutions","OTC-16945-MS","conference-paper","van Borselen, Roald, PGS Geophysical | van Hegge, Rob, PGS Geophysical | van Schonewille, Michel, PGS Geophysical",2004,"OTC","'data-driven'"
"Production Surveillance And Optimization With Data Driven Models","IPTC-11647-MS","conference-paper","Goh, Keat-Choon, Shell | Moncur, Charlie E., Shell Global Solutions Intl BV | Van Overschee, Peter, | Briers, Jan, ISMC NV",2007,"IPTC","'data-driven'"
"Data-Driven Time Migration using a Multiparameter Approach","SEG-2015-5845017","conference-paper","Bobsin, Martina, University of Hamburg | Schwarz, Benjamin, University of Hamburg | Vanelle, Claudia, University of Hamburg | Gajewski, Dirk, University of Hamburg",2015,"SEG","'data-driven'"
"Advanced Data-Driven Performance Analysis For Mature Waterfloods (Russian)","SPE-174872-RU","conference-paper","Mijnarends, Runo, Salym Petroleum Development | Frolov, Andrey, Salym Petroleum Development | Grishko, Fedor, Salym Petroleum Development | Kryanev, Svyatoslav, Salym Petroleum Development | Mikhaylenko, Egor, Salym Petroleum Development | Nizamutdinov, Eduard, Salym Petroleum Development | Plokhotnichenko, Oleg, Salym Petroleum Development | Irina, Surovets, Salym Petroleum Development",2015,"SPE","'data-driven'"
"Advanced Data-Driven Performance Analysis For Mature Waterfloods","SPE-174872-MS","conference-paper","Mijnarends, Runo, Salym Petroleum Development | Frolov, Andrey, Salym Petroleum Development | Grishko, Fedor, Salym Petroleum Development | Kryanev, Svyatoslav, Salym Petroleum Development | Mikhaylenko, Egor, Salym Petroleum Development | Nizamutdinov, Eduard, Salym Petroleum Development | Plokhotnichenko, Oleg, Salym Petroleum Development | Irina, Surovets, Salym Petroleum Development",2015,"SPE","'data-driven'"
"Data Driven Automatic Aperture Optimization For Kirchhoff Migration","SEG-2005-1890","conference-paper","Kabbej, Amir, Total | Baina, Reda, OPERA | Duquet, Bertrand, IFP",2005,"SEG","'data-driven'"
"Data-driven Tilt Angle Estimation of Multi-component Receivers","SEG-2004-0921","conference-paper","Li, Jianchao, Veritas DGC Inc. | Jin, Side, Veritas DGC Inc. | Ronen, Shuki, Veritas DGC Inc.",2004,"SEG","'data-driven'"
"Channelling Detection Using Data-Driven Models","SPE-177046-MS","conference-paper","Moreno, G. A., YPF Tecnologia | Garriz, A. E., YPF Tecnologia",2015,"SPE","'data-driven'"
"Data-driven Tomographic Inversion of Focusing Operators","SEG-2001-0722","conference-paper","Cox, Barbara E., Delft University of Technology | Verschuur, D.J., Delft University of Technology",2001,"SEG","'data-driven'"
"Effective Use of Data-Driven Methods in Brown Fields","SPE-187840-MS","conference-paper","Temizel, Cenk, Aera Energy | Putra, Dike, Rafflesia Energy | Anggraini, Henny, HESS | Moreno, Raul, Consultant | Drozdov, Oleg, Modeltech | Skiba, Andrey, Modeltech",2017,"SPE","'data-driven'"
"A Data-driven Approach For 3D VSP Multiple Prediction","SEG-2007-3064","conference-paper","Hornby, Zhiyong, BP Exploration & Production Technology Group | Hornby, Brian E., BP Exploration & Production Technology Group",2007,"SEG","'data-driven'"
"A Data-Driven Approach to Identifying Physical Fatigue","ASSE-17-740","conference-paper","Cavuoto, Lora, University at Buffalo | Megahed, Fadel, Miami University",2017,"ASSE","'data-driven'"
"Effective Use of Data-Driven Methods in Brown Fields (Russian)","SPE-187840-RU","conference-paper","Temizel, Cenk, Aera Energy | Putra, Dike, Rafflesia Energy | Anggraini, Henny, HESS | Moreno, Raul, Consultant | Drozdov, Oleg, Modeltech | Skiba, Andrey, Modeltech",2017,"SPE","'data-driven'"
"Data-Driven Optimization of Injection/Production in Waterflood Operations","SPE-187468-MS","conference-paper","Temizel, Cenk, Area Energy | Nabizadeh, Mehdi, International Petro Asmari Company | Kadkhodaei, Nematollah, International Petro Asmari Company | Ranjith, Rahul, University of Southern California | Suhag, Anuj, University of Southern California | Balaji, Karthik, University of Southern California | Dhannoon, Diyar, Texas A&M University",2017,"SPE","'data-driven'"
"Advanced Analytics Solutions: Towards a Data Driven Organisation","OTC-28591-MS","conference-paper","Thajudeen, S. Syed, PETRONAS",2018,"OTC","'data-driven'"
"SUPPLEMENTARY/SPE-170982-SUP.pdf","SPE-170982-MS","media","",NA,NA,"'data-driven'"
