"book_title","paper_id","dc_type","authors","year","source","keyword"
"Applying Subsurface DNA Diagnostics and Data Science in the Delaware Basin","SPE-189846-MS","conference-paper","Silva, J., Anadarko Petroleum Corporation | Ursell, L., Biota Technology | Percak-Dennett, E., Biota Technology",2018,"SPE","'data+science'"
"Video:                  Application of Data Science and Machine Learning for Well Completion Optimization","OTC-28632-PT","presentation","Pankaj, Piyush, Schlumberger | Geetan, Steve, EP Energy Corporation | MacDonald, Richard, EP Energy Corporation | Shukla, Priyavrat, Schlumberger | Sharma, Abhishek, Schlumberger | Menasria, Samir, Schlumberger | Xue, Han, Schlumberger | Judd, Tobias, Schlumberger",2018,"OTC","'data+science'"
"Application of Data Science and Machine Learning for Well Completion Optimization","OTC-28632-MS","conference-paper","Pankaj, Piyush, Schlumberger | Geetan, Steve, EP Energy Corporation | MacDonald, Richard, EP Energy Corporation | Shukla, Priyavrat, Schlumberger | Sharma, Abhishek, Schlumberger | Menasria, Samir, Schlumberger | Xue, Han, Schlumberger | Judd, Tobias, Schlumberger",2018,"OTC","'data+science'"
"Video:                  An Integrated Platform for IIoT in E&P: Closing the Gap between Data Science and Operations","SPE-191489-PT","presentation","Wen, Tailai, Arundo Analytics | Evers, Karina, Arundo Analytics | Huang, Xinwo, Arundo Analytics | Keyes, Roy, Arundo Analytics",2018,"SPE","'data+science'"
"An Integrated Platform for IIoT in E&P: Closing the Gap between Data Science and Operations","SPE-191489-MS","conference-paper","Wen, Tailai, Arundo Analytics | Evers, Karina, Arundo Analytics | Huang, Xinwo, Arundo Analytics | Keyes, Roy, Arundo Analytics",2018,"SPE","'data+science'"
"Data Drilling: Changing the Way the Oil and Gas Industry Manages Safety and Risk","SPE-173497-MS","conference-paper","Caldwell, Brian, Baker Hughes | Hinton, Jack, Baker Hughes",2015,"SPE","'data+science'"
"Time To Enlist in the Analytics Army","SPE-0618-0033-JPT","journal-paper","Rassenfoss, Stephen, JPT Emerging Technology Senior Editor",2018,"SPE","'data+science'"
"Utilizing a Data Analytics Workflow to Optimize Completion Practices While Leveraging Public Data: A Permian Basin Case Study","SPE-191416-MS","conference-paper","Olaoye, Olubiyi, Premier Oilfield Group | Zakhour, Nancy, Occidental Oil and Gas",2018,"SPE","'data+science'"
"Detecting Failures and Optimizing Performance in Artificial Lift Using Machine Learning Models","SPE-190090-MS","conference-paper","Pennel, Mike, OspreyData Inc. | Hsiung, Jeffrey, OspreyData Inc. | Putcha, V. B., OspreyData Inc.",2018,"SPE","'data+science'"
"Technology Focus: Well Testing (February 2018)","SPE-0218-0061-JPT","journal-paper","Lee, Heejae, ExxonMobil Production Company",2018,"SPE","'data+science'"
"Using Least Square Support Vector Machines to Approximate Single Phase Flow","SPE-185881-MS","conference-paper","Zhong, He, University of Calgary | Wu, Keliu, University of Calgary | Ji, Dongqi, University of Calgary | Chen, Zhangxing, University of Calgary",2017,"SPE","'data+science'"
"Video:                  Automated Model Building: The Next AI Frontier in Predictive Maintenance","OTC-28634-PT","presentation","Herve, P., SparkCognition | Haddad, G., SparkCognition | Moore, K., SparkCognition | Rosner, M., SparkCognition",2018,"OTC","'data+science'"
"Think Big - Start Small in Asset Performance Management","SPE-193162-MS","conference-paper","Ferket, Johan, Stork, a Fluor company",2018,"SPE","'data+science'"
"Automated Model Building: The Next AI Frontier in Predictive Maintenance","OTC-28634-MS","conference-paper","Herve, P., SparkCognition | Haddad, G., SparkCognition | Moore, K., SparkCognition | Rosner, M., SparkCognition",2018,"OTC","'data+science'"
"Hierarchy of data verification approaches for production and development control (Russian)","OIJ-2017-12-075-077-RU","journal-paper","Andrianova, A. M., Gazpromneft NTC LLC, RF, Saint-Petersburg | Margarit, A. S., Gazpromneft NTC LLC, RF, Saint-Petersburg | Perets, D. S., Gazpromneft NTC LLC, RF, Saint-Petersburg | Simonov, M. V., Gazpromneft NTC LLC, RF, Saint-Petersburg",2017,"OIJ","'data+science'"
"An Inside Look at Anadarko Petroleum’s Digital Transformation","SPE-1118-0040-JPT","journal-paper","Jacobs, Trent, JPT Digital Editor",2018,"SPE","'data+science'"
"Devon Energy Rises to the Top as a Data-Driven Producer","SPE-1016-0028-JPT","journal-paper","Jacobs, Trent, JPT Senior Technology Writer",2016,"SPE","'data+science'"
"Lessons Learned from Bacteria Monitoring and Treatment in Marcellus Production Operations","SPE-191819-18ERM-MS","conference-paper","Weaver, Dalton, Chevron Appalachia | Densmore, Zachary, Chevron Appalachia | Evans, Paul, Chevron Energy Technology Company",2018,"SPE","'data+science'"
"Applying Automated Model Building to Predictive Maintenance in Oil and Gas","SPE-192998-MS","conference-paper","Herve, Philippe, SparkCognition | Moore, Keith, SparkCognition | Rosner, Marla, SparkCognition",2018,"SPE","'data+science'"
"Advanced Analytics Solutions: Towards a Data Driven Organisation","OTC-28591-MS","conference-paper","Thajudeen, S. Syed, PETRONAS",2018,"OTC","'data+science'"
"A Journey Towards Building Real-Time Big Data Analytics Environment for Drilling Operations: Challenges and Lessons Learned","SPE-192285-MS","conference-paper","AlBar, Abdullah H., Saudi Aramco | Alotaibi, Bader M., Saudi Aramco | Asfoor, Hasan M., Saudi Aramco | Nefai, Mohammad S., Saudi Aramco",2018,"SPE","'data+science'"
"Production Data Management Collaboration Effort in an Integrated Journey for More than 1,000 Wells in the Northern Kuwait Heavy Oil Fields","SPE-193762-MS","conference-paper","Gonzalez, Santiago, Kuwait Oil Company | Al Muhanna, Tamadhor, Kuwait Oil Company | Abdalla, Waeil, Kuwait Oil Company | Pandey, Dharmesh, Kuwait Oil Company | Al Naqi, Ahmad, Kuwait Oil Company | Al Mezal, Loloh, Kuwait Oil Company | Al Saqer, Aisha, Kuwait Oil Company | Rajab, Sayed, Kuwait Oil Company",2018,"SPE","'data+science'"
"Accelerating and Enhancing Petrophysical Analysis With Machine Learning: A Case Study of an Automated System for Well Log Outlier Detection and Reconstruction","SPWLA-2018-BB","conference-paper","Akkurt, Ridvan, Schlumberger | Conroy, Tim T., Woodside Energy | Psaila, David, AnalyticSignal | Paxton, Andrea, Schlumberger | Low, Jacob, Woodside Energy | Spaans, Paul, Woodside Energy",2018,"SPWLA","'data+science'"
"Technology Focus: Intelligent Fields Technology (May 2018)","SPE-0518-0057-JPT","journal-paper","Hudson, John, Shell",2018,"SPE","'data+science'"
"A Workflow for Intelligent Data-driven Analytics Software Development in Oil and Gas Industry","SPE-170859-MS","conference-paper","Dursun, Serkan, Halliburton | Duman, Kaan, Rensselaer Polytechnic Institute | Tuna, Tayfun, University of Houston | Abbas, Mamta, Halliburton | Ding, James, Halliburton",2014,"SPE","'data+science'"
"Technology Focus: Reservoir Performance and Monitoring (September 2018)","SPE-0918-0080-JPT","journal-paper","Livescu, Silviu, Baker Hughes, a GE Company",2018,"SPE","'data+science'"
"The mid-21st century geophysics workforce: How today’s trends across geoscience impact geophysics human resources of the future","SEG-2018-2992425","conference-paper","Keane, Christopher M., American Geosciences Institute | Wilson, Carolyn E., American Geosciences Institute",2018,"SEG","'data+science'"
"Optimizing the Development of a Stacked Continuous Resource Play in the Midland Basin","URTEC-2461811-MS","conference-paper","Courtier, James, Pat Curth. Laredo Petroleum Inc. | Wicker, Joe, Pat Curth. Laredo Petroleum Inc. | Jeffers, Travis, Pat Curth. Laredo Petroleum Inc.",2016,"URTEC","'data+science'"
"Proactive Rod Pump Optimization: Leveraging Big Data to Accelerate and Improve Operations","SPE-181216-MS","conference-paper","Palmer, Tyler, Denbury Resources Inc. | Turland, Mark, Denbury Resources Inc.",2016,"SPE","'data+science'"
"Technology Focus: Horizontal and Complex-Trajectory Wells (November 2017)","SPE-1117-0049-JPT","journal-paper","Menand, Stephané, DrillScan US",2017,"SPE","'data+science'"
"Integrating Technology and Organizational Alignment for a Portfolio Implementation","SPE-1217-0052-JPT","journal-paper","Carpenter, Chris, JPT Technology Editor",2017,"SPE","'data+science'"
"Numerical Studies of Green Water Effect On a Moored FPSO","ISOPE-I-08-342","conference-paper","Lu, Haidong, Dept. of Computational and Data Sciences, George Mason University Fairfax, Virginia, U.S.A. | Yang, Chi, Dept. of Computational and Data Sciences, George Mason University Fairfax, Virginia, U.S.A. | Löhner, Rainald, Dept. of Computational and Data Sciences, George Mason University Fairfax, Virginia, U.S.A.",2008,"ISOPE","'data+science'"
"Hydrodynamic Optimization of a Modern Container Ship Using Variable Fidelity Models","ISOPE-I-09-025","conference-paper","Kim, Heejung, Dept. of Computational and Data Sciences, George Mason University Fairfax, Virginia, USA | Yang, Chi, Dept. of Computational and Data Sciences, George Mason University Fairfax, Virginia, USA | Kim, Hyunyul, Dept. of Computational and Data Sciences, George Mason University Fairfax, Virginia, USA | Chun, Ho-Hwan, Dept. of Naval Architecture and Ocean Engineering, Pusan National University Busan, Korea",2009,"ISOPE","'data+science'"
"Numerical Studies of Green Water Impact On Fixed And Moving Bodies","ISOPE-I-10-138","conference-paper","Lu, Haidong, Dept. of Computational and Data Sciences, George Mason University | Yang, Chi, Dept. of Computational and Data Sciences, George Mason University | L¨ohner, Rainald, Dept. of Computational and Data Sciences, George Mason University",2010,"ISOPE","'data+science'"
"A Practical Hydrodynamic Optimization Tool For the Design of a Monohull Ship","ISOPE-I-08-343","conference-paper","Kim, Hyunyul, Dept. of Computational and Data Sciences, George Mason University Fairfax, Virginia, U.S.A. | Yang, Chi, Dept. of Computational and Data Sciences, George Mason University Fairfax, Virginia, U.S.A. | Löhner, Rainald, Dept. of Computational and Data Sciences, George Mason University Fairfax, Virginia, U.S.A. | Noblesse, Francis, David Taylor Model Basin, NSWC-CD West Bethesda, Maryland, U.S.A.",2008,"ISOPE","'data+science'"
"Data Management Requirements for Supporting Digital Energy Initiatives","SPE-181572-MS","conference-paper","Kozman, Jess B., CLTech Consulting Pte Ltd",2016,"SPE","'data+science'"
"All Data Becomes Big When You Fail To Learn From It","OTC-26304-MS","conference-paper","Snøtun, H., Well Design Online | Mathisen, P., AGR Software",2015,"OTC","'data+science'"
"A Practical Method For Predicting Sinkage And Trim","ISOPE-08-18-4-288","journal-paper","Yang, Chi, Department of Computational and Data Sciences, George Mason University, Fairfax, Virginia, USA | Noblesse, Francis, David Taylor Model Basin (NSWCCD), West Bethesda, Maryland, USA",2008,"ISOPE","'data+science'"
"Practical Green Function For Steady Flow About a Ship","ISOPE-I-09-206","conference-paper","Noblesse, Francis, David Taylor Model Basin, NSWCCD, West Bethesda, MD, USA | Delhommeau, Gerard, Laboratoire de Mécanique des Fluides, École Centrale de Nantes, CNRS, France | Yang, Chi, Dept of Computational and Data Sciences, George Mason University, Fairfax, VA, USA",2009,"ISOPE","'data+science'"
