"book_title","paper_id","dc_type","authors","year","source","keyword"
"Video:                  Intelligent Casing-Intelligent Formation (ICIF) Design","OTC-25161-PT","presentation","Stalford, Harold, University of Oklahoma | Ahmed, Ramadan, University of Oklahoma | Soriano Arambulo, Victor Hugo, University of Oklahoma",2014,"OTC","'intelligent'"
"Intelligent Casing-Intelligent Formation (ICIF) Design","OTC-25161-MS","conference-paper","Stalford, Harold, Victor Hugo Soriano Arambulo, University of Oklahoma | Ahmed, Ramadan, Victor Hugo Soriano Arambulo, University of Oklahoma",2014,"OTC","'intelligent'"
"Networking Intelligent Subsea Completions","SPE-1001-0047-JPT","journal-paper","Denney, Dennis, JPT Technology Editor",2001,"SPE","'intelligent'"
"Intelligently Using Intelligent Completions","SPE-0408-0040-JPT","journal-paper","Schorn, Patrick, Schlumberger Completions",2008,"SPE","'intelligent'"
"Intelligent Pipeline Monitoring System","NACE-07267","conference-paper","Gu, P., CANMET Materials Technology Laboratory, Natural Resources Canada | Zheng, W., CANMET Materials Technology Laboratory, Natural Resources Canada | Revie, R.W., CANMET Materials Technology Laboratory, Natural Resources Canada",2007,"NACE","'intelligent'"
"Intelligent Strategies In LNG","SPE-112192-MS","conference-paper","Rangnow, Darrell, Resources2 Energy | Govia, Delfina M., Resources2 Energy",2008,"SPE","'intelligent'"
"Intelligent Sand Management","SPE-98818-MS","conference-paper","Oyeneyin, M. Babs, The Robert Gordon U. | Macleod, Chris, The Robert Gordon U. | Oluyemi, Gbenga, The Robert Gordon U. | Onukwu, Anthony, Vetco-Gray Ltd.",2005,"SPE","'intelligent'"
"ESPs and Intelligent Completions","SPE-77656-MS","conference-paper","Konopczynski, M.R., WellDynamics International, Ltd. | Moore, W.R., Shell International Exploration and Production | Hailstone, J.J., BHPBilliton",2002,"SPE","'intelligent'"
"Intelligent-Drillstring Field Trials","SPE-0505-0071-JPT","journal-paper","Bybee, Karen, JPT Assistant Technology Editor",2005,"SPE","'intelligent'"
"Intelligent Well Completions","SPE-80993-JPT","journal-paper","Robinson, Mike, Production Engineering Technologies Ltd.",2003,"SPE","'intelligent'"
"When Intelligent Wells Are Truly Intelligent, Reliable, and Cost Effective","OTC-17999-MS","conference-paper","Naldrett, G., Schlumberger | Ross, D., Schlumberger",2006,"OTC","'intelligent'"
"Optimization of Recovery Using Intelligent Completions in Intelligent Fields","SPE-188993-MS","conference-paper","Abdullayev, Azer, Halliburton | Kedia, Rachit, Halliburton | Urakov, Askar, Maersk Oil | Temizel, Cenk, Aera Energy",2017,"SPE","'intelligent'"
"Overview: Intelligent Systems (October 2000)","SPE-1000-0048-JPT","journal-paper","Stratton, Jay, Occidental Petroleum of Qatar",2000,"SPE","'intelligent'"
"Technology Focus: Intelligent Fields Technology","SPE-0516-0070-JPT","journal-paper","Hudson, John, Shell",2016,"SPE","'intelligent'"
"Overview: Intelligent Systems (October 2001)","SPE-1001-0046-JPT","journal-paper","Stratton, Jay, Anadarko Petroleum",2001,"SPE","'intelligent'"
"Intelligent Reservoir Characterization (IRESC)","SEG-1999-2050","conference-paper","Nikravesh, Masoud, Energy and Geoscience Institute, University of Utah | Levey, Raymond A., Energy and Geoscience Institute, University of Utah | Adams, Roy D., Energy and Geoscience Institute, University of Utah",1999,"SEG","'intelligent'"
"Field Experiences With Intelligent Pigs","NACE-96037","conference-paper","Smith, Stephen N., Exxon Co USA | Duvivier, Jean-Pierre, Esso REP | Lefevre, Donald E., Esso Resources Canada Limited | Robb, Geoffrey A., Esso Australia Ltd",1996,"NACE","'intelligent'"
"Business Value From Intelligent Fields","SPE-128245-MS","conference-paper","Van Den Berg, Frans G., Shell Intl. E&P Co. | Perrons, Robert K., Shell Intl. E&P Co. | Moore, Ian, Capgemini | Schut, Gert, Capgemini",2010,"SPE","'intelligent'"
"Real-Time 3D Intelligent Portal","SPE-144381-MS","conference-paper","De Buyl, Marc H., VRCONTEXT LLC | Mazula, Nelia, VRCONTEXT LLC",2011,"SPE","'intelligent'"
"Intelligent Control of Drilling Systems","SPE-21927-MS","conference-paper","Rowsell, P.J., U. of Nottingham | Waller, M.D., U. of Nottingham",1991,"SPE","'intelligent'"
"Intelligent Control for MPD","SPE-180069-MS","conference-paper","Moosavinia, Majid, Pruitt Tools | Parker, Martyn, Pruitt Tools | Alexandrov, Vadim, Adaplab | Palenov, Maxim, Adaplab",2016,"SPE","'intelligent'"
"Intelligent Fields: Industry's Frontier & Opportunities","SPE-141874-MS","conference-paper","Al-Dhubaib, Tofig A., Saudi Aramco",2011,"SPE","'intelligent'"
"Moving Towards Intelligent Oilfields","SPE-156117-MS","conference-paper","Al-Sulaiti, Ahmad, Qatar Petroleum | Al-Baker, Hamad, Qatar Petroleum | Beg, Mirza Shoaib, Qatar Petroleum",2012,"SPE","'intelligent'"
