"book_title","paper_id","dc_type","authors","year","source","keyword"
"Mooring Integrity and Machine Learning","OTC-27866-MS","conference-paper","Prislin, Igor, BMT Scientific Marine Services Inc. | Maroju, Soma, BMT Scientific Marine Services Inc.",2017,"OTC","'machine+learning'"
"Machine learning assisted velocity autopicking","SEG-2017-17684719","conference-paper","Smith, Kenneth, Shearwater GeoServices",2017,"SEG","'machine+learning'"
"Machine-learning methods in geoscience","SEG-2018-2997218","conference-paper","Maniar, Hiren, Schlumberger | Ryali, Srikanth, Schlumberger | Kulkarni, Mandar S., Schlumberger | Abubakar, Aria, Schlumberger",2018,"SEG","'machine+learning'"
"Shale Discrimination with Machine Learning Methods","ARMA-2017-0769","conference-paper","Hoeink, T., Baker Hughes | Zambrano, C., Baker Hughes",2017,"ARMA","'machine+learning'"
"Machine Learning for Improved Directional Drilling","OTC-28633-MS","conference-paper","Pollock, Jacob, Oceanit Laboratories, Inc. | Stoecker-Sylvia, Zachary, Oceanit Laboratories, Inc. | Veedu, Vinod, Oceanit Laboratories, Inc. | Panchal, Neil, Shell International E&P Inc. | Elshahawi, Hani, Shell International E&P Inc.",2018,"OTC","'machine+learning'"
"Predicting ESP Lifespan With Machine Learning","URTEC-2669988-MS","conference-paper","Sneed, Jessamyn, Devon Energy Corporation",2017,"URTEC","'machine+learning'"
"Using Machine Learning to Create Data","OTC-28587-MS","conference-paper","Snøtun, Håkon, AGR Software",2018,"OTC","'machine+learning'"
"Seismic trace editing by applying machine learning","SEG-2018-2998291","conference-paper","Shen, Yang, University of Science and Technology of China (USTC) | Sun, Mengyao, University of Science and Technology of China (USTC) | Zhang, Jie, University of Science and Technology of China (USTC) | Liu, Sen, University of Science and Technology of China (USTC) | Chen, Zhibo, University of Science and Technology of China (USTC) | Li, Weiping, University of Science and Technology of China (USTC)",2018,"SEG","'machine+learning'"
"Machine Learning Can Enhance and Add Jobs","SPE-0718-0035-JPT","journal-paper","Parshall, Joel, JPT Features Editor",2018,"SPE","'machine+learning'"
"Data Driven Production Forecasting Using Machine Learning","SPE-180984-MS","conference-paper","Cao, Q., Schlumberger | Banerjee, R., Schlumberger | Gupta, S., Schlumberger | Li, J., Schlumberger | Zhou, W., Schlumberger | Jeyachandra, B., Schlumberger",2016,"SPE","'machine+learning'"
"Smart Condition Monitoring Using Machine Learning","SPE-187936-MS","conference-paper","Bangert, Patrick, algorithmica technologies Inc.",2017,"SPE","'machine+learning'"
"Using Machine Learning Technique To Acquire Offshore Structural Design Knowledge","SPE-20298-MS","general","Pek, Peng-Kist, Mayang Technological Institute",1990,"SPE","'machine+learning'"
"Application of Machine Learning for Oilfield Data Quality Improvement","SPE-191601-18RPTC-MS","conference-paper","Andrianova, Alla, Gazpromneft Science & Technology Centre | Simonov, Maxim, Gazpromneft Science & Technology Centre | Perets, Dmitry, Gazpromneft Science & Technology Centre | Margarit, Andrey, Gazpromneft Science & Technology Centre | Serebryakova, Darya, Gazpromneft Science & Technology Centre | Bogdanov, Yuriy, MIPT Engineering Center | Budennyy, Semen, MIPT Engineering Center | Volkov, Nikita, MIPT Engineering Center",2018,"SPE","'machine+learning'"
"Advanced Machine Learning Methods for Production Data Pattern Recognition","SPE-167839-MS","conference-paper","Subrahmanya, Niranjan, ExxonMobil Research and Engineering Company | Xu, Peng, ExxonMobil Upstream Research Company | El-Bakry, Amr, ExxonMobil Production Company | Reynolds, Carmon, ExxonMobil Information Technology",2014,"SPE","'machine+learning'"
"SAGD dynamic reservoir property characterization using machine learning","SEG-2018-2996228","conference-paper","Tiwari, Upendra, ConocoPhillips, Houston, TX | Roy, Baishali, ConocoPhillips, Houston, TX | Cardozo, Luis E., ConocoPhillips, Canada",2018,"SEG","'machine+learning'"
"An Applied Machine Learning Approach to Subsea Asset Inspection","SPE-193122-MS","conference-paper","Bertram, Stephen James, Fugro | Fan, Yilun, Fugro | Raffelt, David, Fugro | Michalak, Pawel, Fugro",2018,"SPE","'machine+learning'"
"The Role of Machine Learning in Drilling Operations; A Review","SPE-191823-18ERM-MS","conference-paper","Noshi, Christine I., Texas A&M university | Schubert, Jerome J., Texas A&M university",2018,"SPE","'machine+learning'"
"Predicting and Detecting Equipment Malfunctions Using Machine Learning","OTC-28109-MS","conference-paper","Bangert, Patrick, Algorithmica Technologies Inc.",2017,"OTC","'machine+learning'"
"Selection of EOR/IOR Opportunities Based on Machine Learning","SPE-78332-MS","conference-paper","Alvarado, Vladimir, PDVSA Intevep | Ranson, Aaron, PDVSA Intevep | Hernandez, Karen, PDVSA Intevep | Manrique, Eduardo, PDVSA Intevep | Matheus, Justo, PDVSA Intevep | Liscano, Tamara, FUNDATEC | Prosperi, Natasha, PDVSA Intevep",2002,"SPE","'machine+learning'"
"Machine-learning-based methods for estimation and stochastic simulation","SEG-2018-2991178","conference-paper","Dhara, Arnab, Colorado School of Mines | Trainor-Guitton, Whitney, Colorado School of Mines | Tura, Ali, Colorado School of Mines",2018,"SEG","'machine+learning'"
"Recognizing shingling seismic data by unsupervised machine learning","SEG-2018-2995824","conference-paper","Sun, Mengyao, University of Science and Technology of China (USTC) | Zhang, Jie, University of Science and Technology of China (USTC) | Wang, Yihao, University of Science and Technology of China (USTC)",2018,"SEG","'machine+learning'"
"Application of Machine Learning Ideas to Reservoir Fluid Properties Estimation","SPE-193461-MS","conference-paper","Onwuchekwa, Chukwuma, Shell Petroleum Development Company of Nigeria Limited",2018,"SPE","'machine+learning'"
"A Machine Learning Approach to Studies of Recovery Efficiency","SPE-22304-MS","conference-paper","Brown, J.P., Ultimate Resources Inc.",1991,"SPE","'machine+learning'"
"Potential Pitfalls in Exploration and Production Applications of Machine Learning","SPE-169523-MS","conference-paper","Harris, Cole, Chevron Information Technology Company",2014,"SPE","'machine+learning'"
"Application of Machine Learning for Closure Pressure Determination","SPE-194042-STU","conference-paper","Nande, Soumitra, Maharashtra Institute of Technology",2018,"SPE","'machine+learning'"
"Boosting Rock Facies Prediction: Weighted Ensemble of Machine Learning Classifiers","SPE-192930-MS","conference-paper","Shashank, Sharad, Schlumberger | Mahapatra, Mahabir Prasad, Schlumberger",2018,"SPE","'machine+learning'"
"A Machine Learning Approach to the Prediction of Tidal Currents.","ISOPE-I-16-514","conference-paper","Sarkar, Dripta, University of Oxford | Osborne, Michael, University of Oxford | Adcock, Thomas, University of Oxford",2016,"ISOPE","'machine+learning'"
"Production Optimization Using Machine Learning in Bakken Shale","URTEC-2902505-MS","conference-paper","Luo, Guofan, University of Houston | Tian, Yao, University of Houston | Bychina, Mariia, University of Houston | Ehlig-Economides, Christine, University of Houston",2018,"URTEC","'machine+learning'"
"A machine learning approach to facies classification using well logs","SEG-2017-17729805","conference-paper","Bestagini, Paolo, Politecnico di Milano | Lipari, Vincenzo, Politecnico di Milano | Tubaro, Stefano, Politecnico di Milano",2017,"SEG","'machine+learning'"
"The Application of Machine Learning to Rock Mechanics","ISRM-7CONGRESS-1991-167","conference-paper","Zhang, Qing, Department of Civil Engineering, Northern Jiaotong University | Song, Jiarong, Department of Civil Engineering, Northern Jiaotong University",1991,"ISRM","'machine+learning'"
"Synthetic Well Log Generation Using Machine Learning Techniques","URTEC-2877021-MS","conference-paper","Akinnikawe, Oyewande, Devon Energy Corp E&P | Lyne, Stacey, Devon Energy Corp E&P | Roberts, Jon, Devon Energy Corp E&P",2018,"URTEC","'machine+learning'"
"Machine Learning Methods to Speed up Compositional Reservoir Simulation","SPE-154505-MS","conference-paper","Gaganis, Vassilis, Technical University of Crete | Varotsis, Nikos, Tech. U. of Crete",2012,"SPE","'machine+learning'"
"Machine Learning Algorithms Applied to Detection of Well Control Events","SPE-188104-MS","conference-paper","Unrau, Sean, Pason Systems Corp. | Torrione, Pete, CoVar Applied Technologies Inc | Hibbard, Mark, CoVar Applied Technologies Inc | Smith, Russell, Pason System Corp. | Olesen, Lars, Pason System Corp. | Watson, Joe, Rawabi-Pason LLC.",2017,"SPE","'machine+learning'"
"Using supervised machine learning to distinguish microseismic from noise events","SEG-2017-17727697","conference-paper","Zhao, Zhengguang, The University of Queensland | Gross, Lutz, The University of Queensland",2017,"SEG","'machine+learning'"
"Seismic facies classification using some unsupervised machine-learning methods","SEG-2018-2997356","conference-paper","Chopra, Satinder, TGS, Calgary | Marfurt, Kurt J., University of Oklahoma, Norman",2018,"SEG","'machine+learning'"
"Machine-Learning-Based Automatic Well-Log Depth Matching","SPWLA-2018-v59n6a10","journal-paper","Zimmermann, Timon, Swiss Federal Institute of Technology | Liang, Lin, Schlumberger | Zeroug, Smaine, Schlumberger",2018,"SPWLA","'machine+learning'"
"Automatic microseismic-event detection via supervised machine learning","SEG-2018-2998279","conference-paper","Qu, Shan, Delft University of Technology, Delphi Consortium | Verschuur, Eric, Delft University of Technology, Delphi Consortium | Chen, Yangkang, National Center for Computational Sciences, Oak Ridge National Laboratory",2018,"SEG","'machine+learning'"
