"book_title","paper_id","dc_type","authors","year","source","keyword"
"Introducing Predictive Analytics: Opportunities","SPE-106865-MS","conference-paper","Stone, Paul, BP",2007,"SPE","'predictive+analytics'"
"Machinery Predictive Analytics","SPE-128559-MS","conference-paper","Rawi, Zaid, BP",2010,"SPE","'predictive+analytics'"
"The Next Game Changer: Predictive Analytics","ASSE-15-596","conference-paper","Lisk, Del, Lytx. Inc.",2015,"ASSE","'predictive+analytics'"
"Predictive Analytics and Collaboration Drive Reliability Performance","SPE-128745-MS","conference-paper","Snyder, Tim, SmartSignal",2010,"SPE","'predictive+analytics'"
"Predictive Analytics: Development and Deployment of Upstream Data Driven Models","SPE-153454-MS","conference-paper","Holdaway, Keith Richard, SAS Institute Inc.",2012,"SPE","'predictive+analytics'"
"Predictive Analytics for Safety Related Service Water Systems.","NACE-2014-4368","conference-paper","Crompton, Andrew M., Structural Integrity Associates, Inc. | Wood, Peter A., Structural Integrity Associates, Inc.",2014,"NACE","'predictive+analytics'"
"Data Mining and Predictive Analytics Transforms Data to Barrels","SPE-163731-MS","conference-paper","Bailey, Richard, BP plc | Shirzadi, Shahryar, BP America Inc | Ziegel, Eric, BP plc",2013,"SPE","'predictive+analytics'"
"Enhancing Wellwork Efficiency With Data Mining and Predictive Analytics","SPE-167869-MS","conference-paper","Sidahmed, Mohamed, BP | Ziegel, Eric, BP | Shirzadi, Shahryar, BP | Stevens, David, BP | Marcano, Maria, BP",2014,"SPE","'predictive+analytics'"
"ESP Health Monitoring KPI: A Real-Time Predictive Analytics Application","SPE-181009-MS","conference-paper","Gupta, Supriya, Frontender Corporation | Nikolaou, Michael, University of Houston | Saputelli, Luigi, Frontender Corporation | Bravo, Cesar, Halliburton",2016,"SPE","'predictive+analytics'"
"Enhancing Well-Work Efficiency With Data Mining and Predictive Analytics","SPE-1015-0085-JPT","journal-paper","Wilson, Adam, JPT Special Publications Editor",2015,"SPE","'predictive+analytics'"
"SUPPLEMENTARY/SPE-170982-SUP.pdf","SPE-170982-MS","media","",NA,NA,"'predictive+analytics'"
"SUPPLEMENTARY/SPE-173444-SUP.pdf","SPE-173444-MS","media","",NA,NA,"'predictive+analytics'"
"SUPPLEMENTARY/OTC-28990-SUP.pdf","OTC-28990-MS","media","",NA,NA,"'predictive+analytics'"
"Failure Predictive Analytics Using Data Mining: How to Predict Unforeseen Casing Failures?","SPE-193194-MS","conference-paper","Noshi, C. I., Texas A&M University | Noynaert, S. F., Texas A&M University | Schubert, J. J., Texas A&M University",2018,"SPE","'predictive+analytics'"
"Application of Novel Predictive Analytics for Data Allocation of Commingled Production in Smart Fields","SPE-192078-MS","conference-paper","Chia, Mabel Pei Chuen, PETRONAS | Yakup, M Hamzi B, PETRONAS | Tamin, Muhammad, PETRONAS | Surin, Nicholas Aloysius, PETRONAS | Mazzlan, Khairul Akmal B, PETRONAS | Rinadi, M, PETRONAS | Hassan, A Azim B, PETRONAS",2018,"SPE","'predictive+analytics'"
"Advanced Methods for Determining the Value of Information of Surveillance Data Acquisition Using Predictive Analytics","SPE-186304-MS","conference-paper","Kechut, Nor Idah, Petronas | Hassan, Abd Azim, Petronas | Izyan, Wan Fatin, Petronas | Zamri, W M, Petronas | Raub, Mohd Razib A, Petronas | Tewari, Raj Deo, Petronas | Kuzmichev, Dmitry N., LEAP Energy | Mironenko, Yulia, LEAP Energy",2017,"SPE","'predictive+analytics'"
"Increasing Production Efficiency via Compressor Failure Predictive Analytics Using Machine Learning","OTC-28990-MS","conference-paper","Pandya, D., Shell Global Solutions | Srivastava, A., Shell Business Operations | Doherty, A., Shell U.K. Limited | Sundareshwar, S., Shell UK Ltd. | Needham, C., Shell U.K. Oil Products | Chaudry, A., Shell Global Solutions | KrishnaIyer, S., Shell Business Operations",2018,"OTC","'predictive+analytics'"
"Assessing Current and Potential Basin Assets Using an Innovative Predictive Analytics Workflow","SPE-185673-MS","conference-paper","Gbededo, Midowa, Blue River Analytics | Stone, Mindy, Blue River Analytics | Beaver, Philip, University of Denver | Lee, Young Jin, University of Denver",2017,"SPE","'predictive+analytics'"
"Big Data Every Day: Predictive Analytics Used to Improve Production Surveillance","SPE-173444-MS","conference-paper","Raphael, Scott, P2 Energy Solutions | Fuge, Clara P., P2 Energy Solutions | Gutierrez, Shawn, P2 Energy Solutions | Kuzma, Heidi A., BetaZi LLC | Arora, Nimar S., BetaZi LLC",2015,"SPE","'predictive+analytics'"
"Using Predictive Analytics for Asset Management: A Case Study of Early Warning Prediction Application","SPE-167403-MS","conference-paper","Ajayi, A., Model E. Solutions LLC | Akinyemi, O., Shell Nigeria Exploration & Production Development Company Limited | Kurdi, M., SAS Institute",2013,"SPE","'predictive+analytics'"
"Using Data-Driven Predictive Analytics to Estimate Downhole Temperatures while Drilling","SPE-170982-MS","conference-paper","Dursun, Serkan, Halliburton | Kumar, Aniket, Halliburton | Samuel, Robello, Halliburton",2014,"SPE","'predictive+analytics'"
"SUPPLEMENTARY/SPE-173419-SUP.pdf","SPE-173419-MS","media","",NA,NA,"'predictive+analytics'"
"Video:                  Integrating Big Data: Simulation, Predictive Analytics, Real Time Monitoring, and Data Warehousing in a Single Cloud Application","OTC-28910-PT","presentation","Mounir, N., Advantek Waste Management Services | Guo, Y., Advantek Waste Management Services | Panchal, Y., Advantek Waste Management Services | Mohamed, I. M., Advantek Waste Management Services | Abou-Sayed, A., Advantek Waste Management Services | Abou-Sayed, O., Advantek Waste Management Services",2018,"OTC","'predictive+analytics'"
"State of the Art of Artificial Intelligence and Predictive Analytics in the E&P Industry: A Technology Survey","SPE-150314-PA","journal-paper","Bravo, César E., Halliburton | Saputelli, Luigi, Frontender Corporation | Rivas, Francklin, Universidad de los Andes | Pérez, Anna G., Universidad de los Andes | Nickolaou, Michael, University of Houston | Zangl, Georg, Fractured Reservoir Dynamics | De Guzmán, Neil, Intelligent Agent Corp | Mohaghegh, Shahab Dean, West Virginia University",2014,"SPE","'predictive+analytics'"
"Waterflood Performance Diagnosis and Optimization Using Data-Driven Predictive Analytical Techniques from Capacitance Resistance Models CRM","SPE-185813-MS","conference-paper","Kansao, Rami, Frontender Corporation | Yrigoyen, Andres, Frontender Corporation | Haris, Zameel, Frontender Corporation | Saputelli, Luigi, Frontender Corporation",2017,"SPE","'predictive+analytics'"
"Methodology for Optimizing Operational Performance and Life Management of Drilling Systems Using Real Time-Data and Predictive Analytics","SPE-173419-MS","conference-paper","Kale, A., Baker Hughes | Zhang, D., Baker Hughes | David, A., Baker Hughes | Heuermann-Kuehn, L., Baker Hughes | Fanini, O., Baker Hughes",2015,"SPE","'predictive+analytics'"
"Integrating Big Data: Simulation, Predictive Analytics, Real Time Monitoring, and Data Warehousing in a Single Cloud Application","OTC-28910-MS","conference-paper","Mounir, N., Advantek Waste Management Services | Guo, Y., Advantek Waste Management Services | Panchal, Y., Advantek Waste Management Services | Mohamed, I. M., Advantek Waste Management Services | Abou-Sayed, A., Advantek Waste Management Services | Abou-Sayed, O., Advantek Waste Management Services",2018,"OTC","'predictive+analytics'"
"Using Big Data to Predict and Prevent Serious Injuries and Fatalities","ASSE-15-671","conference-paper","Pettinger, Chuck B., Predictive Solutions",2015,"ASSE","'predictive+analytics'"
"Drilling Automated Realtime Monitoring Using Digital Twin","SPE-192807-MS","conference-paper","Gholami Mayani, Maryam, eDrilling | Rommetveit, Rolv, eDrilling | Oedegaard, Sven Inge, eDrilling | Svendsen, Morten, eDrilling",2018,"SPE","'predictive+analytics'"
"Multimeasurement exploration and interpretation in the southern Rocky Mountains","SEG-2016-13971864","conference-paper","Velasco*, Maria, NEOS GeoSolutions | Schnetzler, Emmanuel, NEOS GeoSolutions | Alumbaugh, David, NEOS GeoSolutions",2016,"SEG","'predictive+analytics'"
"Production Metric Analytics in the Wolfcamp Formation","URTEC-2872226-MS","conference-paper","Ross, Christopher P., Cross Quantitative Interpretation, LP",2018,"URTEC","'predictive+analytics'"
"Data Management Requirements for Supporting Digital Energy Initiatives","SPE-181572-MS","conference-paper","Kozman, Jess B., CLTech Consulting Pte Ltd",2016,"SPE","'predictive+analytics'"
"Improving Operations Through Next Generation Analytics and Mobility","SPE-163715-MS","conference-paper","Landgren, Kenneth M, SAP Labs | Abraham, Paul, SAP Labs LLC | Das, Jagannath, SAP Labs",2013,"SPE","'predictive+analytics'"
"HPHT Well Integrity: Load-Resistance Monitoring and Predictive Analysis","OTC-27603-MS","conference-paper","Das, Bibek, SafeQ Services | Samuel, Robello, University of Houston",2017,"OTC","'predictive+analytics'"
"Predictive Monitoring of Critical Rotating Equipment in Val D’agri","OMC-2013-067","conference-paper","Piantanida, Marco, Eni | Cristofori, Federico, Eni | Fiorita, Simone, Eni | Bottani, Cristina, Eni | Pappas, Yanni, GE Intelligent Platforms | Alessandro, Nicolò, Eni | Piccione, Cosimo, Eni",2013,"OMC","'predictive+analytics'"
"Predictive Asset Management","SPE-150234-MS","conference-paper","Kingsley, Eliot, IBM",2012,"SPE","'predictive+analytics'"
"Combining Condition Monitoring and Predictive Modeling to Improve Equipment Uptime on Drilling Rigs","SPE-118678-MS","conference-paper","Faller, Karl, TIdata",2008,"SPE","'predictive+analytics'"
"Casing Failure Data Analytics: A Novel Data Mining Approach in Predicting Casing Failures for Improved Drilling Performance and Production Optimization","SPE-191570-MS","conference-paper","Noshi, C. I., Texas A&M University | Noynaert, S. F., Texas A&M University | Schubert, J. J., Texas A&M University",2018,"SPE","'predictive+analytics'"
"Strategic Approach in Tackling Performance","SPE-117832-MS","conference-paper","Carroll, T., Performance Plus | Beaumont, Nigel, Performance Plus | Gill, Jon David, John Crane-Lips",2008,"SPE","'predictive+analytics'"
"Video:                  Casing Failure Data Analytics: A Novel Data Mining Approach in Predicting Casing Failures for Improved Drilling Performance and Production Optimization","SPE-191570-PT","presentation","Noshi, C. I., Texas A&M University | Noynaert, S. F., Texas A&M University | Schubert, J. J., Texas A&M University",2018,"SPE","'predictive+analytics'"
"Adding the Predictive P into Personal Protective Equipment","SPE-190579-MS","conference-paper","Horseman, Samantha J., DBL | Sloman, Colin M., Saudi Aramco | Seay, Steven A., Saudi Aramco | Abdrabbuh, Mohammed A. Al, Saudi Aramco | Alem, Yasser, Saudi Aramco",2018,"SPE","'predictive+analytics'"
"Big Data Approach for Geological Study of the Big Region West Siberia","SPE-191726-MS","conference-paper","Olneva, Tatiana, Gazpromneft NTC | Kuzmin, Dmitryi, Gazpromneft NTC | Rasskazova, Svetlana, Gazpromneft NTC | Timirgalin, Azamat, Gazpromneft NTC",2018,"SPE","'predictive+analytics'"
"Corrosion in a Hydrocracking Unit","NACE-2014-3936","conference-paper","Ramaseshan, Vinod, Saudi Arabian Oil Company | Al-Aithan, Gusai, Saudi Arabian Oil Company | Faqeer, Faisal M. Al, Saudi Arabian Oil Company | Abdulal, Ali H., Saudi Arabian Oil Company | Dias, Olavo C., Saudi Arabian Oil Company",2014,"NACE","'predictive+analytics'"
"Cloud-Based Data Management in Oil and Gas Fields: Advances, Challenges, and Opportunties","SPE-167882-MS","conference-paper","Bello, Oladele, Baker Hughes | Srivastava, Deepak, Baker Hughes | Smith, David, Baker Hughes Incorporated",2014,"SPE","'predictive+analytics'"
"Data Ethics in Oil and Gas Operations","SPE-190117-MS","conference-paper","Ershaghi, Iraj, University of Southern California | Ershaghi, Milad A., | Popa, Andrei, Chevron",2018,"SPE","'predictive+analytics'"
"Generative Models for Production Forecasting in Unconventional Oil and Gas Plays","URTEC-1928595-MS","conference-paper","Kuzma, Heidi Anderson, BetaZi LLC | Arora, Nimar S., BetaZi LLC | Farid, Kemal, Merrick Systems Inc.",2014,"URTEC","'predictive+analytics'"
"Triassic Hydrocarbon Potential in the Eastern Mediterranean Region, Lebanon","SEG-2015-5906258","conference-paper","Velasco, M. Soledad, NEOS GeoSolutions Inc. | Snyder, Horace, NEOS GeoSolutions Inc. | Kidwai, Mohammed, NEOS GeoSolutions Inc.",2015,"SEG","'predictive+analytics'"
"A Framework-Oriented Approach for Determining Attribute Importance When Building Effective Predictive Models for Oil and Gas Data Analytics","SPE-166304-MS","conference-paper","Dursun, Serkan, Halliburton | Rangarajan, Keshava, Halliburton | Singh, Amit, Halliburton",2013,"SPE","'predictive+analytics'"
"Spatial Well Surveillance: An Approach for Early Detection of Well Behavior in Highly Populated Fields","SPE-165032-MS","conference-paper","Bertomeu, Fernando Diego, Sinopec Argentina E&P Inc | Gonzalez Hidalgo, Jenny, Sinopec Argentina E&P Inc | Ataguile, Santiago Martin, Sinopec Argentina E&P Inc",2013,"SPE","'predictive+analytics'"
"Intelligent Energy: The Past, the Present, and the Future","SPE-167895-PA","journal-paper","Gilman, Helen, Wipro Technologies | Nordtvedt, Jan-Erik, Epsis AS",2014,"SPE","'predictive+analytics'"
"Predicting & Preventing: Using Leading Indicators to Assess Safety Performance","ASSE-12-715","conference-paper","Pettinger, Chuck B., Predictive Solutions",2012,"ASSE","'predictive+analytics'"
"Big Data in Exploration and Production: Real-Time Adaptive Analytics and Data-Flow Architecture","SPE-163721-MS","conference-paper","Brule, Michael R, IBM",2013,"SPE","'predictive+analytics'"
"Intelligent Energy: The Past, the Present, and the Future","SPE-167895-MS","conference-paper","Gilman, Helen, Wipro | Nordtvedt, Jan-Erik, Epsis",2014,"SPE","'predictive+analytics'"
"Benefits of Using an Electric Choke for Subsea Applications","OTC-28138-MS","conference-paper","Rubio, A., OneSubsea | Zeid, H. Abu, OneSubsea | Meyer, J. H., OneSubsea",2017,"OTC","'predictive+analytics'"
"Enhanced Sucker Rod Pumping Model: A Powerful Tool for Optimizing Production, Efficiency and Reliability","SPE-192485-MS","conference-paper","Di Tullio, Matteo Tommaso, Eni SpA | Marfella, Ferdinando, Eni SpA",2018,"SPE","'predictive+analytics'"
"Enhancing Reservoir Understanding by Utilizing Business Intelligence Workflows","SPE-168080-MS","conference-paper","Al-Taiban, Ali, Saudi Aramco | Al-Zawawi, Ahmed S., Saudi Aramco | Al-Ghamdi, Tareq, Saudi Aramco | Abouheit, Fouad, Saudi Aramco | Al-Harbi, Badr, Saudi Aramco | Baier, Uwe, Saudi Aramco",2013,"SPE","'predictive+analytics'"
"Leading Indicators, Culture and Big Data: Using Your Data to Eliminate Death","ASSE-14-689","conference-paper","Pettinger, Chuck B., Predictive Solutions",2014,"ASSE","'predictive+analytics'"
"Cross-Industry Innovations in Artificial Intelligence","SPE-143873-MS","conference-paper","Piovesan, Carol Michelle, APO Offshore | Kozman, Jess B., Schlumberger Oilfield Australia Pty Ltd",2011,"SPE","'predictive+analytics'"
"An Analytic Approach to Geologic Interpretation and Petrophysical Modeling of the Bakken/Three Forks Plays","URTEC-1619602-MS","conference-paper","Roth, Michael, | Roth, Murray,",2013,"URTEC","'predictive+analytics'"
