"book_title","paper_id","dc_type","authors","year","source","keyword"
"Evaluating Resource Plays with Statistical Models","SPE-107435-MS","conference-paper","Hall, Russell K., Russell K. Hall & Assocs.",2007,"SPE","'statistical+model'"
"Statistical model for rock fracture","ARMA-92-0729","conference-paper","Blair, Stephen C., University of California",1992,"ARMA","'statistical+model'"
"Statistical Model for Dispersion in a 2D Glass Micromodel","SPE-113343-PA","journal-paper","Ghazanfari, Mohammad Hossein, Sharif University of Technology | Kharrat, Riyaz, Petroleum University of Technology | Rashtchian, Dawood, Sharif University of Technology | Vossoughi, Shapour, University of Kansas",2010,"SPE","'statistical+model'"
"A Statistical Model Of Macroscopic Failure Under Compression","ISRM-5CONGRESS-1983-025","conference-paper","Weber, Ph., Ecole des Mines d&apos;Ales | Saint-Lot, P., Ecole des Mines d&apos;Ales",1983,"ISRM","'statistical+model'"
"Statistical Model of Dispersion in a 2-D Glass Micromodel","SPE-113343-MS","conference-paper","Ghazanfari, Mohammad Hossein, Sharif University of Technology | Kharrat, Riyaz, Petroleum U. of Tech Iran | Rashtchian, Davood, Sharif University of Technology | Vossoughi, Shapour, U. of Kansas",2008,"SPE","'statistical+model'"
"Developments in Regression Line Fitting—Improved Evaluation Equations by Proper Choices Between Statistical Models","SPE-89137-JPT","journal-paper","Woodhouse, Richard, Independent Consultant",2005,"SPE","'statistical+model'"
"Landslide Susceptibility Zonation - A Comparison of Natural and Cut Slopes Using Statistical Models","ISRM-VIETROCK-2015-027","conference-paper","Nguyen, QuocPhi, Hanoi University of Mining and Geology, Vietnam | Phi, TruongThanh, Institute of Marine Geology and Geophysics, Vietnam | Nguyen, AnhNguyet, Institute of Marine Geology and Geophysics, Vietnam | Lam, VanAnh, Ban Ve Hydropower Joint Stock Company, Vietnam",2015,"ISRM","'statistical+model'"
"Generalized Statistical Models: The Case of Off-Shore Lease Bids","SPE-14528-MS","general","Jenkins, D.C., Brigham Young University | McDonald, J.B., Brigham Young University",1985,"SPE","'statistical+model'"
"A Statistical Model To Evaluate Infill Drilling Prospects In An Upper Devonian Field In Central Alberta","PETSOC-89-02-11","journal-paper","Papst, W., Gulf Canada Resources Ltd. | Asgarpour, Soheil, Gulf Canada Resources Ltd.",1989,"PETSOC","'statistical+model'"
"Improved Uncertainty Quantification in the Ensemble Kalman Filter Using Statistical Model-Selection Techniques","SPE-145192-PA","journal-paper","Sætrom, Jon, Norwegian University of Science and Technology | Hove, Joakim, Statoil Research Centre | Skjervheim, Jan-Arild, Statoil Research Centre | Vabø, Jon Gustav, Statoil Research Centre",2012,"SPE","'statistical+model'"
"A Statistical Model To Evaluate A Hydrocarbon Miscible Flood In An Upper Devonian Field In Central Alberta","PETSOC-90-03-07","journal-paper","Asgarpour, Sohell, Gulf Canada Resources Limited | Papst, Wolfgang, OEMV Oil & Gas Ltd.",1990,"PETSOC","'statistical+model'"
"Evaluating the Relationship Between Well Parameters and Production Using Multivariate Statistical Models: A Middle Bakken and Three Forks Case History","SPE-179171-MS","conference-paper","Lolon, E., Liberty Oilfield Services | Hamidieh, K., Rice University | Weijers, L., Liberty Oilfield Services | Mayerhofer, M., Liberty Oilfield Services | Melcher, H., Liberty Oilfield Services | Oduba, O., Liberty Oilfield Services",2016,"SPE","'statistical+model'"
"Creating of Multivariant Geological and Statistical Model as a Solution for Assessing the Quality of Reserves (Russian)","SPE-176627-RU","conference-paper","Sitnikov, A. N., Gazpromneft STC | Belozerov, B. V., Gazpromneft STC | Glozhik, R. Yu., Gazpromneft STC | Muzychenko, A. A., Gazpromneft STC | Vasilyev, M. O., Gazpromneft STC",2015,"SPE","'statistical+model'"
"Creating of Multivariant Geological and Statistical Model as a Solution for Assessing the Quality of Reserves","SPE-176627-MS","conference-paper","Sitnikov, A. N., Gazpromneft STC | Belozerov, B. V., Gazpromneft STC | Glozhik, R. Yu., Gazpromneft STC | Muzychenko, A. A., Gazpromneft STC | Vasilyev, M. O., Gazpromneft STC",2015,"SPE","'statistical+model'"
"A Generalized Semi-analytical and Statistical Model To Estimate Oil and Water Production, Pore Volume Injected, and Ultimate Recovery in Mature Waterflooding Projects","SPE-122749-MS","conference-paper","Espinel Diaz, Arnaldo Leopoldo, Texas A&M Univiersity | Barrufet, Maria Antonieta, Texas A&M U.",2009,"SPE","'statistical+model'"
